65  13 27 03.30  -47 14 02.1  10023    -49.9  2.4   1  201.76377  -47.23391
66  13 27 10.12  -47 13 41.2  10027     47.1  1.5   1  201.79218  -47.22812
67  13 27 12.47  -47 13 56.7  10028      0.6  6.6   1  201.80194  -47.23242
68  13 27 14.15  -47 13 47.6  10029    226.2  2.2   1  201.80897  -47.22988
69  13 24 53.28  -47 14 38.5  11008     18.6  2.2   1  201.22202  -47.24404
70  13 25 37.79  -47 14 31.5  11011    -38.5  6.1   1  201.40746  -47.24207
71  13 26 02.06  -47 14 15.8  11014      9.5  1.6  53  201.50858  -47.23772
72  13 26 11.79  -47 14 16.9  11018    240.4  3.0   1  201.54912  -47.23803
73  13 26 15.54  -47 14 35.2  11019    237.2  1.3   1  201.56475  -47.24311
74  13 26 31.24  -47 14 25.6  11020    229.0  2.2   1  201.63017  -47.24044
75  13 26 41.15  -47 14 26.1  11021    229.4  0.9   1  201.67144  -47.24057
76  13 26 46.16  -47 14 14.9  11024    221.8  0.9   8  201.69235  -47.23748
77  13 27 05.45  -47 14 19.5  11025     11.8  1.7   1  201.77272  -47.23876
78  13 27 17.03  -47 14 28.8  11026     -6.0  4.3   1  201.82096  -47.24133
79  13 24 30.37  -47 15 03.5  12008     -8.0  1.3   1  201.12654  -47.25096
80  13 25 24.34  -47 15 04.9  12013    228.1  2.1   1  201.35143  -47.25136
81  13 25 30.70  -47 14 58.8  12014    233.0  2.5   1  201.37791  -47.24966
82  13 26 34.73  -47 14 54.3  12021    227.1  3.9   1  201.64470  -47.24843
83  13 26 37.32  -47 14 44.9  12023    235.0  1.4   1  201.65548  -47.24580
84  13 26 55.10  -47 14 48.8  12025    222.3  5.9   1  201.72957  -47.24688
85  13 28 01.99  -47 14 54.5  12030    -60.2  1.2   1  202.00830  -47.24846
86  13 28 02.38  -47 14 45.1  12031    226.7  2.0   1  202.00992  -47.24585
87  13 28 12.47  -47 14 51.4  12033    227.9  1.3   1  202.05195  -47.24761
88  13 25 25.31  -47 15 28.6  13009    -16.2  0.5   2  201.35547  -47.25794
89  13 25 46.04  -47 15 21.9  13014    224.2  1.7   1  201.44182  -47.25608
90  13 25 51.63  -47 15 18.1  13016    230.2  2.1   1  201.46514  -47.25503
91  13 26 48.62  -47 15 18.9  13028    224.6  4.8   1  201.70258  -47.25524
92  13 27 05.62  -47 15 10.5  13030    -40.6  1.5   1  201.77341  -47.25291
93  13 27 05.71  -47 15 24.6  13031    227.9  3.5   1  201.77380  -47.25683
94  13 27 17.00  -47 15 13.4  13034     10.5  8.9   1  201.82084  -47.25373
95  13 28 03.62  -47 15 12.7  13036      8.6  1.1   1  202.01507  -47.25352
96  13 24 38.98  -47 15 53.0  14002    222.3  2.2   1  201.16243  -47.26471
97  13 24 42.54  -47 15 53.2  14003    -48.9  5.4   1  201.17727  -47.26478
98  13 25 13.97  -47 15 50.4  14006    -20.2  1.1   1  201.30822  -47.26399
99  13 25 29.32  -47 15 34.4  14010    224.5  2.7   1  201.37215  -47.25956
100  13 25 47.86  -47 15 59.6  14014    -49.6  1.5   1  201.44942  -47.26656
101  13 25 51.89  -47 15 34.7  14017    244.0  3.3   1  201.46621  -47.25965
102  13 25 55.64  -47 15 37.5  14019    230.1  3.8   1  201.48182  -47.26041
103  13 26 32.82  -47 15 34.2  14026    233.8  2.9   1  201.63677  -47.25949
104  13 26 37.78  -47 15 57.4  14027     47.2  6.8   1  201.65743  -47.26595
105  13 26 41.02  -47 15 38.1  14028    224.9  1.9   1  201.67091  -47.26057
106  13 27 18.48  -47 15 42.5  14035    218.6  1.8   1  201.82702  -47.26180
107  13 27 25.67  -47 15 34.3  14038    237.4  2.6   1  201.85696  -47.25954
108  13 27 33.88  -47 15 43.4  14039     32.7  0.9   1  201.89116  -47.26205
109  13 27 38.51  -47 15 38.3  14040    237.1  2.5   1  201.91045  -47.26064
110  13 27 41.56  -47 15 38.3  14041    235.8  2.4   1  201.92318  -47.26065
111  13 27 45.49  -47 15 44.0  14042    224.6  5.1   1  201.93956  -47.26221
112  13 27 50.40  -47 15 42.7  14043    218.1  4.0   1  201.96000  -47.26185
113  13 24 40.89  -47 16 01.1  15005    -61.6  1.0   1  201.17039  -47.26697
114  13 25 37.65  -47 16 10.8  15012    223.1  2.1   1  201.40686  -47.26967
115  13 26 41.52  -47 16 21.5  15018    211.8  3.9   1  201.67301  -47.27263
116  13 26 58.41  -47 16 21.5  15022    227.5  1.8   1  201.74338  -47.27263
117  13 27 01.09  -47 16 11.3  15023    227.8  0.9   8  201.75456  -47.26981
118  13 27 16.49  -47 15 58.2  15026    231.5  1.1   1  201.81869  -47.26618
119  13 27 16.87  -47 16 14.5  15027    228.8  2.0   1  201.82030  -47.27070
120  13 27 37.63  -47 16 04.7  15033      3.4  1.0   1  201.90678  -47.26798
