89	201.22330	-47.19343	-5.3	11.9	-1.33	16.22
90	201.22405	-47.19231	-7.1	-2.7	-3.08	1.67
91	201.31106	-47.19826	-7.9	0.2	-3.97	4.56
92	201.40797	-47.19146	-4.1	-3.8	-0.11	0.59
93	201.42056	-47.19457	-4.2	-3.7	-0.26	0.65
94	201.57332	-47.19187	-4.3	-4.6	-0.31	-0.21
95	201.58511	-47.19633	-4.0	-4.1	-0.08	0.24
96	201.59357	-47.19590	-6.2	1.0	-2.22	5.42
97	201.63065	-47.19750	-6.0	0.2	-2.08	4.55
98	201.67027	-47.19289	-9.4	3.8	-5.42	8.22
99	201.76438	-47.19282	4.1	1.7	8.03	6.04
100	201.76643	-47.19178	-5.1	-4.5	-1.17	-0.12
101	201.78617	-47.19712	-6.6	-6.4	-2.70	-1.96
102	201.79550	-47.19566	-3.9	-4.5	0.00	-0.12
103	201.81837	-47.19544	-8.2	2.9	-4.23	7.28
104	201.84300	-47.19637	-3.9	-3.9	0.00	0.45
105	201.90334	-47.19644	-4.1	-4.2	-0.11	0.24
106	202.04310	-47.19164	7.7	-2.0	11.62	2.28
107	201.02972	-47.20357	-13.0	-7.0	-8.96	-2.74
108	201.05953	-47.20323	-27.5	8.2	-23.56	12.47
109	201.28472	-47.20013	-12.8	0.2	-8.78	4.53
110	201.29971	-47.20066	-20.2	3.6	-16.23	7.99
111	201.33074	-47.20516	-7.8	0.3	-3.86	4.69
112	201.34802	-47.20589	-6.5	1.4	-2.58	5.82
113	201.39777	-47.20027	-4.4	-3.8	-0.40	0.61
114	201.46329	-47.19866	-4.5	-4.2	-0.53	0.13
115	201.48933	-47.19973	-5.0	-4.8	-1.06	-0.45
116	201.52474	-47.20504	-4.2	-4.3	-0.24	0.13
117	201.56435	-47.20318	-5.5	-3.8	-1.57	0.60
118	201.59016	-47.20318	-4.8	-3.8	-0.80	0.54
119	201.59671	-47.20507	-1.3	4.2	2.64	8.61
120	201.62990	-47.20291	-4.5	-0.7	-0.54	3.64
121	201.66235	-47.20447	-3.6	-3.8	0.34	0.63
122	201.66410	-47.19987	-4.6	-4.1	-0.66	0.25
123	201.69609	-47.20062	1.8	1.2	5.81	5.53
124	201.77806	-47.20114	-3.7	-4.4	0.26	0.01
125	201.86575	-47.20284	-3.5	-2.9	0.44	1.51
126	201.88074	-47.20294	-4.6	-4.7	-0.70	-0.32
127	201.89464	-47.19925	-6.8	0.6	-2.81	5.04
128	201.90738	-47.19792	-3.8	-3.9	0.12	0.55
129	202.05122	-47.20419	6.8	5.8	10.79	10.16
130	200.95688	-47.20689	-9.6	3.0	-5.70	7.32
131	201.13385	-47.21295	-6.2	3.9	-2.27	8.30
132	201.15955	-47.20673	-2.7	3.7	1.23	8.09
133	201.20312	-47.21299	25.6	-50.8	29.75	-46.39
134	201.30561	-47.20779	-5.2	-3.7	-1.23	0.66
135	201.33820	-47.21163	-8.2	2.0	-4.21	6.33
136	201.40039	-47.20885	-3.9	-4.3	0.06	0.11
137	201.43154	-47.21319	-3.7	-4.2	0.30	0.16
138	201.45608	-47.21242	-4.0	-3.6	-0.04	0.77
139	201.52738	-47.21037	-9.3	-1.6	-5.31	2.78
140	201.53563	-47.20933	-4.9	-6.0	-0.94	-1.58
141	201.54354	-47.21141	-4.2	-4.7	-0.21	-0.35
142	201.57770	-47.21065	-3.9	3.5	0.06	7.93
143	201.62051	-47.20593	-2.7	4.4	1.25	8.74
144	201.68059	-47.20594	-9.6	-7.0	-5.67	-2.57
145	201.71933	-47.20808	-4.7	-4.4	-0.73	0.00
146	201.81144	-47.20944	0.0	4.5	3.97	8.91
147	201.90410	-47.20612	-4.2	-4.3	-0.21	0.07
148	201.90880	-47.21038	3.7	-0.8	7.68	3.56
149	201.91055	-47.20685	-25.3	-4.4	-21.35	0.17
150	201.92768	-47.20907	-3.5	-3.7	0.40	0.73
151	201.97502	-47.20763	2.4	3.8	6.43	8.12
152	201.02941	-47.21577	-5.0	2.1	-1.08	6.41
153	201.06760	-47.21973	-5.5	-4.4	-1.47	-0.07
154	201.07113	-47.22082	-5.2	-3.8	-1.26	0.58
155	201.10395	-47.22022	-8.0	-0.8	-4.07	3.51
156	201.12221	-47.21601	-9.2	0.1	-5.25	4.46
157	201.18853	-47.21353	-15.0	4.1	-11.04	8.45
158	201.19177	-47.21329	-12.6	-5.6	-8.59	-1.23
159	201.28314	-47.22062	-2.0	7.1	1.95	11.50
160	201.37077	-47.22021	-4.2	-4.1	-0.22	0.26
161	201.47076	-47.21857	-4.3	-4.6	-0.33	-0.21
162	201.50822	-47.21768	-3.7	-2.4	0.23	2.01
163	201.52539	-47.21711	-5.9	3.1	-1.95	7.52
164	201.52635	-47.21993	-2.1	1.8	1.87	6.17
165	201.55460	-47.21406	-3.9	-4.6	0.07	-0.20
166	201.63749	-47.21743	-4.7	-5.0	-0.70	-0.60
167	201.66089	-47.21659	-7.9	1.9	-3.96	6.35
168	201.66668	-47.21645	-4.2	-4.1	-0.29	0.28
169	201.72562	-47.21825	-3.7	-3.9	0.27	0.51
170	201.73661	-47.21418	-29.7	-1.7	-25.74	2.83
171	201.76088	-47.21520	-9.4	7.6	-5.40	12.06
172	201.78482	-47.21673	-3.9	-3.5	0.02	0.90
173	201.79177	-47.21399	-6.4	-3.6	-2.44	0.77
174	201.79297	-47.21472	-4.5	-3.9	-0.51	0.53
175	201.80052	-47.21890	-25.8	-3.0	-21.83	1.46
176	201.81565	-47.21707	-6.3	2.3	-2.37	6.74
177	201.81997	-47.21615	-3.4	-4.3	0.53	0.05
178	201.85463	-47.21292	-11.2	0.0	-7.24	4.45
179	201.89964	-47.21258	-4.0	-4.1	-0.02	0.33
180	201.91104	-47.21443	-11.7	-1.0	-7.75	3.46
181	201.92627	-47.21265	-4.3	-4.0	-0.40	0.44
182	201.99059	-47.21337	-4.1	-4.5	-0.21	-0.09
183	201.01546	-47.22430	-13.6	0.9	-9.61	5.24
184	201.05836	-47.22436	-33.4	-10.1	-29.36	-5.89
185	201.14942	-47.22864	-27.8	1.7	-23.82	5.98
186	201.20530	-47.22681	-18.6	0.9	-14.60	5.17
187	201.27207	-47.22397	-3.3	-0.7	0.67	3.62
188	201.27477	-47.22264	-24.9	-0.8	-20.97	3.48
189	201.35986	-47.22249	-12.2	-5.4	-8.25	-1.00
190	201.51840	-47.22127	-4.6	-4.4	-0.63	-0.05
191	201.54174	-47.22765	-4.2	-4.7	-0.22	-0.32
192	201.54413	-47.22750	-3.9	-3.1	0.04	1.27
193	201.62265	-47.22159	-4.9	-4.7	-0.93	-0.35
194	201.65624	-47.22405	-4.3	-3.7	-0.34	0.69
195	201.66390	-47.22597	-13.2	-3.9	-9.21	0.49
196	201.67140	-47.22795	-22.3	-19.8	-18.40	-15.34
197	201.67645	-47.22190	-2.8	-4.3	1.11	0.08
198	201.69627	-47.22539	-3.9	-4.2	0.01	0.15
199	201.70166	-47.22483	-3.6	-3.2	0.38	1.22
200	201.71029	-47.22122	-4.6	-4.3	-0.63	0.12
201	201.73587	-47.22761	-5.6	-3.5	-1.69	0.86
202	201.76148	-47.22503	-11.7	1.5	-7.74	5.89
203	201.78508	-47.22201	-1.9	3.3	2.12	7.74
204	201.82801	-47.22639	-17.9	7.6	-13.92	12.09
205	201.85329	-47.22356	0.0	1.4	3.95	5.80
206	201.92449	-47.22288	-3.9	-4.1	0.00	0.30
207	201.97305	-47.22754	-19.7	-3.9	-15.80	0.59
208	201.06908	-47.23339	-25.5	-0.1	-21.57	4.13
209	201.07012	-47.23523	-13.9	-1.9	-9.93	2.39
210	201.09465	-47.23207	-13.0	11.0	-9.08	15.28
211	201.14547	-47.23444	-18.6	2.2	-14.65	6.50
212	201.16314	-47.23357	-5.2	-4.0	-1.25	0.35
213	201.17362	-47.23332	-5.6	0.3	-1.63	4.62
214	201.23863	-47.23257	-2.9	-3.9	1.09	0.52
215	201.24457	-47.23406	-4.6	-4.1	-0.67	0.31
216	201.33458	-47.23334	-4.0	-3.6	-0.07	0.82
217	201.41467	-47.23480	-3.8	-3.9	0.21	0.50
218	201.44670	-47.23226	-4.4	-3.0	-0.44	1.39
219	201.46597	-47.23126	-7.3	-0.2	-3.38	4.17
220	201.47198	-47.23300	-3.8	-3.6	0.14	0.77
221	201.53314	-47.23464	-13.4	0.3	-9.46	4.68
222	201.58033	-47.23148	0.8	-2.6	4.75	1.74
223	201.60812	-47.23035	-4.1	-4.8	-0.18	-0.46
224	201.72093	-47.23164	-4.6	-3.5	-0.61	0.92
225	201.75429	-47.23327	-4.5	-4.8	-0.58	-0.37
226	201.76377	-47.23391	-10.7	3.8	-6.71	8.20
227	201.77276	-47.22908	-4.0	-4.7	-0.04	-0.29
228	201.78281	-47.23309	-3.4	-4.4	0.59	-0.05
229	201.78516	-47.22932	-4.5	-4.1	-0.52	0.33
230	201.79218	-47.22812	-1.8	2.8	2.20	7.24
231	201.80194	-47.23242	-5.1	0.6	-1.16	4.98
232	201.80897	-47.22988	-3.5	-4.7	0.48	-0.28
233	201.81832	-47.23257	-4.1	-3.8	-0.12	0.62
234	201.82895	-47.22840	-5.0	-4.5	-1.02	-0.14
235	201.87892	-47.22828	0.7	-0.5	4.70	3.89
236	201.88691	-47.22860	-4.1	-3.9	-0.16	0.50
237	201.93987	-47.23405	0.7	2.2	4.73	6.60
238	202.02697	-47.22924	-6.4	-0.6	-2.46	3.81
239	200.90923	-47.23856	-13.1	-2.7	-9.09	1.64
240	201.04676	-47.24057	-12.3	-4.8	-8.35	-0.51
241	201.08273	-47.23691	-8.2	-0.7	-4.24	3.66
242	201.11148	-47.23658	-6.3	2.1	-2.34	6.48
243	201.21689	-47.24272	-3.1	-3.6	0.86	0.73
244	201.22202	-47.24404	-4.4	2.6	-0.47	6.97
245	201.40746	-47.24207	-21.9	0.5	-17.90	4.91
246	201.50858	-47.23772	-6.7	0.1	-2.73	4.47
247	201.51861	-47.23796	-4.6	-4.6	-0.60	-0.20
248	201.54679	-47.24150	-3.0	-5.3	0.92	-0.94
249	201.54912	-47.23803	-3.6	-4.0	0.36	0.36
250	201.56475	-47.24311	-4.0	-3.7	-0.04	0.65
251	201.63017	-47.24044	-4.0	-4.5	-0.03	-0.08
252	201.67144	-47.24057	-4.6	-3.7	-0.64	0.70
253	201.67427	-47.23708	-3.5	-5.1	0.44	-0.74
254	201.67607	-47.23607	-4.4	-4.3	-0.48	0.10
255	201.69235	-47.23748	-3.4	-4.6	0.54	-0.26
256	201.77272	-47.23876	-9.0	-1.8	-5.01	2.63
257	201.82096	-47.24133	-19.8	1.6	-15.84	6.08
258	201.90118	-47.23483	-6.5	-3.4	-2.54	1.04
259	200.91384	-47.24871	-14.3	6.9	-10.39	11.14
260	200.92777	-47.25027	-10.3	-0.8	-6.28	3.56
261	200.97490	-47.25121	-7.4	2.3	-3.42	6.60
262	200.98970	-47.24968	-5.1	2.6	-1.12	6.96
263	200.99112	-47.24827	-17.1	-0.6	-13.17	3.63
264	201.03404	-47.24450	-7.5	-5.2	-3.51	-0.83
265	201.12567	-47.24788	-15.6	-14.2	-11.52	-9.90
266	201.12654	-47.25096	-6.9	1.3	-2.93	5.62
267	201.15206	-47.24962	-19.1	2.3	-15.19	6.57
268	201.30047	-47.25143	-3.6	1.2	0.39	5.60
269	201.35143	-47.25136	-3.9	-3.9	0.11	0.50
270	201.37791	-47.24966	-4.2	-4.8	-0.23	-0.42
271	201.39376	-47.24710	-2.6	-1.4	1.41	2.95
272	201.53671	-47.24640	-3.8	-4.2	0.16	0.16
273	201.62160	-47.24672	-4.5	-4.6	-0.50	-0.18
274	201.62689	-47.24573	-4.1	-4.9	-0.14	-0.48
275	201.64470	-47.24843	-4.7	-5.3	-0.78	-0.91
276	201.64600	-47.24898	-4.0	-4.4	-0.07	-0.01
277	201.65548	-47.24580	-3.4	-4.0	0.57	0.36
278	201.72957	-47.24688	-5.2	-4.9	-1.29	-0.51
279	201.80872	-47.24908	-7.3	-1.2	-3.32	3.20
280	201.94039	-47.24282	-4.2	-4.7	-0.25	-0.25
281	201.95404	-47.24961	-3.5	-3.5	0.48	0.94
282	202.00830	-47.24846	-2.3	4.0	1.72	8.43
283	202.00992	-47.24585	-3.6	-3.8	0.36	0.62
284	202.05195	-47.24761	4.1	-2.6	8.06	1.75
285	200.92520	-47.25237	-12.7	2.1	-8.74	6.42
286	201.06899	-47.25857	-7.2	1.3	-3.25	5.65
287	201.13373	-47.25880	-4.1	-5.0	-0.08	-0.63
288	201.28719	-47.25401	-5.3	3.2	-1.30	7.59
289	201.35547	-47.25794	1.7	0.4	5.64	4.74
290	201.35661	-47.25785	-6.7	-5.0	-2.77	-0.63
291	201.38740	-47.25444	-11.8	3.2	-7.84	7.55
292	201.39225	-47.25346	-11.8	0.2	-7.88	4.60
293	201.43941	-47.25899	-1.0	3.9	2.98	8.27
294	201.44182	-47.25608	-4.1	-4.8	-0.12	-0.43
295	201.44390	-47.25249	-21.2	-2.2	-17.28	2.19
296	201.46514	-47.25503	-4.1	-3.8	-0.17	0.57
297	201.46763	-47.25530	-3.5	-3.4	0.42	1.00
298	201.46816	-47.25327	-3.9	-3.1	0.11	1.23
299	201.47165	-47.25173	-4.6	-4.4	-0.59	0.02
300	201.47474	-47.25880	-4.5	-3.9	-0.54	0.45
301	201.51721	-47.25404	-4.5	-5.0	-0.56	-0.63
302	201.55314	-47.25439	-4.7	-4.2	-0.70	0.14
303	201.57550	-47.25631	-3.9	-6.7	0.05	-2.30
304	201.62017	-47.25688	-4.6	-4.4	-0.60	-0.03
305	201.65982	-47.25619	-18.6	0.8	-14.59	5.19
306	201.70258	-47.25524	-4.5	-4.8	-0.57	-0.44
307	201.74005	-47.25143	-4.6	-4.5	-0.69	-0.15
308	201.77341	-47.25291	-7.9	-2.2	-3.91	2.19
309	201.77380	-47.25683	-3.3	-4.5	0.67	-0.15
310	201.78364	-47.25427	-4.7	-3.9	-0.74	0.54
311	201.79252	-47.25811	-4.2	-4.4	-0.30	-0.04
312	201.82084	-47.25373	-2.9	-5.0	1.04	-0.57
313	201.95716	-47.25028	1.1	5.0	5.08	9.40
314	202.01507	-47.25352	-11.2	-7.8	-7.26	-3.39
315	200.92784	-47.26073	-9.4	3.2	-5.46	7.48
316	201.16243	-47.26471	-5.0	-4.2	-1.02	0.20
317	201.17727	-47.26478	-10.2	2.7	-6.21	7.05
318	201.23816	-47.26395	-21.8	16.5	-17.88	20.85
319	201.25982	-47.26130	-6.3	4.6	-2.39	9.00
320	201.30822	-47.26399	-1.7	-12.8	2.31	-8.43
321	201.32451	-47.26182	-4.0	-4.9	-0.03	-0.51
322	201.36780	-47.26070	-4.4	-4.3	-0.47	0.09
323	201.37038	-47.25932	-10.0	-0.5	-6.00	3.91
324	201.37215	-47.25956	-5.0	-4.3	-1.06	0.06
325	201.38133	-47.26132	-19.0	-3.3	-14.98	1.10
326	201.39009	-47.26368	-4.2	-4.4	-0.24	-0.05
327	201.44942	-47.26656	-6.5	-7.2	-2.57	-2.87
328	201.45909	-47.26453	-3.8	-4.8	0.19	-0.38
329	201.46464	-47.26487	-5.8	4.9	-1.86	9.32
330	201.46621	-47.25965	-3.8	-4.3	0.17	0.06
331	201.46895	-47.26124	-14.3	1.9	-10.30	6.30
332	201.48182	-47.26041	-3.9	-4.2	0.09	0.16
333	201.49299	-47.26392	-25.2	4.5	-21.27	8.86
334	201.50992	-47.26550	-6.3	6.0	-2.30	10.36
335	201.51579	-47.26379	-16.4	-2.4	-12.45	2.01
336	201.58235	-47.26299	-3.3	-4.4	0.64	0.02
337	201.62651	-47.26373	-10.7	0.8	-6.69	5.24
338	201.63677	-47.25949	-4.2	-4.3	-0.24	0.11
339	201.65743	-47.26595	-13.2	-13.2	-9.26	-8.74
