Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.691,1,265.255,1,4.58224244,,-1.66846211,0.13149343,5559.60523505,114.92393598,23.00647107,4.3884311559,21000005,1898545,False,18.468,17.66,0.9981558919
-53.6904,1,265.243,1,4.67573829,,-1.3435931,0.21740611,5122.20215182,142.95374845,13.70968437,8.1905925505,21000007,1899897,False,19.468,18.509,0.9603118896
-53.6902,1,265.253,1,4.65234916,,-1.76673799,0.11128274,5381.62772366,77.99673824,14.03312319,4.7294251755,21000008,1898548,False,18.452,17.691,0.9994830489
-53.6892,1,265.261,1,4.4643091,,-2.00342007,0.09339912,5979.35776778,45.24962728,16.72010557,3.2951551202,21000011,1899898,False,17.483,16.816,0.9997912049
-53.6886,1,265.258,1,4.67799652,,-1.85801979,0.12529139,5625.49205593,90.07408065,22.17680259,4.3807233638,21000012,1899899,False,18.374,17.645,0.9995388389
-53.6886,1,265.242,1,4.72382241,,-1.41457842,0.15250119,5496.31432945,113.50496232,19.71565531,6.206744021,21000013,1898553,False,18.844,18.046,0.9832297564
-53.6877,1,265.257,1,4.69368495,,-1.62203334,0.16476404,5196.83277044,116.32430849,3.84975856,6.6262921835,21000014,1898554,False,19.182,18.295,0.9894351363
-53.6859,1,265.249,1,4.46381678,,-1.9667303,0.07313412,6012.69111609,36.06942146,24.23851492,2.6912775432,21000018,1898558,False,17.432,16.776,0.9994735122
-53.6844,1,265.242,1,4.33836621,,-1.94527358,0.07056942,6244.77692133,27.95226136,9.05835771,2.5062129701,21000024,1898564,False,16.976,16.347,0.9996392131
-53.6839,1,265.253,1,4.65920348,,-1.67562543,0.13211279,5404.87438298,91.28089058,24.9097833,5.4068103904,21000026,1898565,False,18.788,17.961,0.998036325
-53.6818,1,265.25,1,4.35251506,,-1.98660767,0.06051239,6206.26599802,21.20487244,19.57943319,2.2295251552,21000030,1899909,False,16.865,16.27,0.9998090267
-53.6811,1,265.247,1,4.51953077,,-1.8126804,0.08507304,6014.94076602,42.67665641,10.73997233,3.3857829928,21000032,1898571,False,17.717,17.032,0.9996510744
-53.6805,1,265.258,1,4.53312082,,-1.83740356,0.08224686,5933.41327059,46.58868394,19.25925605,3.2635383529,21000033,1898572,False,17.617,16.962,0.9997466207
-53.6802,1,265.244,1,4.51496417,,-2.08082635,0.09547005,5959.53784859,46.45196507,7.43571713,3.4595563513,21000035,1898574,False,17.686,17.005,0.9991157055
-53.68,1,265.246,1,4.56866493,,-1.8324101,0.08112151,5860.55457712,51.7657283,23.37554265,3.198192343,21000036,1898575,False,17.803,17.129,0.9997047782
-53.6798,1,265.245,1,4.51700066,,-1.81972769,0.08005788,6013.73440275,39.90929168,27.80717797,3.1549868653,21000037,1898576,False,17.655,16.982,0.9983127117
-53.6764,2,265.247,1,4.49370251,,-1.8875943078,0.0629297297,6149.48131367,23.3157061458,20.0026906413,2.5228702226,21000040,1898578,False,17.328,16.713,0.9998531342
-53.6937,1,265.243,1,4.66304383,,-1.84862808,0.1270281,5374.55411816,87.50867792,10.88710728,4.7104143134,21000045,1898581,False,18.608,17.821,0.9996016026
-53.6936,1,265.249,1,4.62925169,,-1.77067414,0.12246879,5512.5579306,102.64495143,20.88722223,4.16383959,21000046,1898582,False,18.408,17.642,0.9994111657
-53.6935,1,265.249,1,4.66273632,,-1.92793985,0.1255624,5397.02600263,87.16714115,9.87511304,4.8226855801,21000047,1898583,False,18.473,17.714,0.9995335937
-53.6917,1,265.246,1,4.52606902,,-1.74367856,0.0851683,5820.70218856,53.88721608,13.94283568,3.5871116141,21000050,1898586,False,17.841,17.133,0.9995270967
-53.6914,1,265.25,1,4.51658678,,-1.79532279,0.07470152,6060.56558637,36.52921013,15.02834661,3.3273168856,21000051,1898587,False,17.718,17.031,0.9996759892
-53.6913,1,265.249,1,4.59293453,,-1.73140765,0.10492676,5702.11924136,71.41097362,18.2644542,3.8854345543,21000052,1898588,False,18.1,17.377,0.9994937181
-53.6912,1,265.252,1,4.75757434,,-0.47225707,0.09617749,5540.00120793,84.1764705,-172.85194542,4.411699933,21000053,1898589,False,18.947,18.149,0
-53.6911,1,265.245,1,3.7414619,,-0.07138087,0.02213166,5335.59860771,16.08303731,-45.0833456,1.2223532511,21000054,1898590,False,16.016,15.245,0
-53.6903,1,265.257,1,4.26676187,,-2.12850607,0.06197606,6221.64877052,19.72993434,12.05924581,2.0905399696,21000056,1898592,False,16.642,16.047,0.9994360805
-53.6892,1,265.249,1,4.64818417,,-1.50915298,0.13452611,5331.60273917,99.69492278,10.99508506,4.482458102,21000061,1898596,False,18.95,18.082,0.990675807
-53.689,1,265.253,1,4.49357908,,-1.8674671,0.08004175,5920.49339922,46.36794606,23.15090233,2.9640484233,21000062,1898597,False,17.636,16.953,0.9996134043
-53.6888,1,265.245,1,4.08304052,,-0.20215932,0.0295432,5471.0479533,21.27164827,-102.72009961,1.4705945925,21000063,1898598,False,16.828,16.076,0
-53.6888,1,265.258,1,4.75008364,,-1.65652818,0.20516301,5205.22628531,145.43444669,17.0768591,6.7778752088,21000064,1898599,False,19.409,18.512,0.9979621172
-53.6887,1,265.249,1,4.37710053,,0.16603743,0.09182948,4408.75847075,32.0024759,26.90841153,2.9054134089,21000065,1898600,False,19.423,18.255,0
-53.688,1,265.261,1,4.18571294,,-0.4650376,0.02866853,5723.00177054,24.18411261,27.04478954,1.5232780938,21000068,1898602,False,16.875,16.176,0
-53.6871,1,265.26,1,3.7809697,,-2.01165693,0.03550499,5963.3621709,11.98880036,13.54850529,1.3491996057,21000073,1898607,False,15.703,15.036,0.9998355508
-53.687,1,265.237,1,4.92602048,,-0.06015379,0.09173163,6107.54935217,84.05989202,-67.81176734,5.5533227164,21000075,1898609,False,18.96,18.262,0
-53.6868,1,265.254,1,4.24002284,,-2.21149368,0.06427853,6262.72431419,20.80854011,6.55588684,2.1387491565,21000076,1898610,False,16.607,16.004,0.9943946004
-53.6867,1,265.262,1,4.26025306,,-2.01926628,0.06410546,6299.26303752,28.1096108,21.57148543,2.3075591007,21000078,1898611,False,16.685,16.076,0.9995406866
-53.6867,1,265.25,1,4.56858936,,-1.91654989,0.09051677,5789.18735865,58.42263872,19.16686723,3.4921489,21000079,1898612,False,17.984,17.271,0.9998197556
