1073,470  687,633   8,377
1069,593  702,496   8,461
883,557   755,545   8,445
1072,551  1179,581  8,425
1559,645  505,577   9,043
587,500   505,734   8,734
961,567   616,514   8,355
1077,613  727,594   8,391
1071,554  744,602   8,494
1066,603  770,458   8,589
1016,470  775,591   9,142
873,584   794,562   8,494
990,602   820,517   8,461
1224,461  889,589   8,366
1358,590  964,577   8,395
1011,525  1431,512  9,592
1663,646  1811,658  10,07
1790,393  1883,623  8,311
1078,625  68,571    8,353
1527,502  77,571    8,304
718,557   100,583   8,314
674,538   109,582   8,361
734,538   135,600   8,288
1060,566  136,476   8,309
1342,653  186,648   8,363
1736,573  187,520   8,540
1507,562  217,630   8,283
1977,573  222,579   8,303
1155,474  224,604   8,336
1116,594  230,569   8,305
265,505   255,578   8,441
1272,601  256,522   8,345
1419,583  264,570   8,301
1156,526  283,609   8,306
1425,551  288,514   8,318
1520,490  301,565   8,275
595,583   301,566   8,315
514,567   303,535   8,361
751,540   312,563   8,382
1465,588  318,622   8,341
1526,470  325,556   8,307
1671,581  330,488   8,456
1022,527  331,611   8,313
798,590   342,558   8,328
315,526   342,582   8,326
1332,594  343,607   8,370
1778,524  359,461   8,302
629,544   367,547   8,350
733,616   367,589   8,351
1096,548  371,506   8,315
1385,590  392,553   8,325
1204,581  406,501   8,332
823,551   406,542   8,336
1184,507  416,548   8,371
889,575   423,533   8,341
1603,462  429,607   8,350
747,578   435,561   8,346
810,538   437,552   8,350
1176,589  437,550   8,328
676,488   445,573   8,356
1007,541  446,610   8,457
1664,654  447,546   8,289
956,452   451,633   8,416
790,517   459,547   8,378
869,550   459,588   8,326
1201,565  466,553   8,361
649,573   469,510   8,396
783,613   472,594   8,523
287,490   473,617   8,652
817,556   483,595   8,339
663,577   485,682   8,355
1123,622  487,451   8,346
932,467   493,637   8,356
1307,569  498,574   8,364
914,580   498,616   8,368
1612,587  500,545   8,301
966,514   505,576   8,447
1385,541  506,606   8,370
1199,620  515,586   8,356
1192,557  525,650   8,389
1023,507  532,621   8,380
886,490   534,620   8,395
1360,530  545,503   8,312
888,574   564,547   8,373
648,514   568,645   8,362
830,524   578,607   8,307
1302,604  583,600   8,353
916,570   585,579   8,362
717,596   596,545   8,379
1190,515  599,474   8,339
1119,539  602,570   8,327
1231,532  603,603   8,391
440,515   604,620   8,369
822,596   611,466   8,361
1173,615  620,508   8,869
1048,517  624,649   8,403
901,490   625,574   8,345
1033,568  634,555   8,364
1196,461  644,410   8,343
1154,561  645,552   8,347
1414,460  645,566   8,326
669,646   648,495   8,373
823,566   651,536   8,400
1273,555  652,480   8,420
1299,531  652,556   8,363
544,600   654,505   8,348
1116,603  655,503   8,372
1214,561  656,438   8,520
924,618   658,606   8,377
1309,570  659,550   8,365
1099,668  666,591   8,539
1249,559  668,617   8,386
1459,523  670,555   8,496
682,626   675,533   8,363
1118,598  684,541   8,371
1204,509  697,462   8,337
529,531   700,584   8,384
950,592   700,605   8,365
1394,525  701,597   8,324
970,612   701,602   8,374
841,540   706,653   8,371
1266,527  712,578   8,370
827,615   728,575   8,434
1786,595  731,602   8,330
1390,538  732,626   8,347
616,578   733,511   8,375
1571,505  737,561   8,359
239,518   741,502   8,461
832,572   745,514   8,388
1626,554  756,551   8,405
391,540   763,567   8,391
1794,564  766,495   8,336
741,569   766,520   8,370
1099,574  770,617   8,377
951,440   777,576   8,666
713,511   780,634   8,377
531,557   785,495   8,363
970,591   788,640   8,470
679,529   813,542   8,391
1436,513  817,566   8,336
435,582   823,526   8,386
877,598   832,625   8,432
544,501   837,552   8,418
817,463   839,425   8,431
1346,505  842,566   8,332
1012,579  848,552   8,364
1160,556  850,602   8,380
767,647   852,584   8,381
1193,564  854,567   8,404
711,486   855,631   8,387
794,513   857,481   8,492
631,518   857,548   8,394
69,576    862,467   8,348
948,597   864,632   8,410
831,514   868,521   8,458
1206,570  873,410   8,473
904,518   875,599   8,378
1290,510  879,532   8,357
1457,560  893,470   8,982
1433,507  894,570   8,365
1045,520  897,578   8,406
1542,577  897,579   8,393
1381,563  902,586   8,349
857,541   902,646   8,497
879,554   908,593   8,413
902,568   921,577   8,410
1206,557  923,612   8,373
1244,565  926,520   8,568
692,542   930,576   8,393
929,489   932,642   8,548
1393,520  934,597   8,386
960,538   935,544   8,379
1231,575  935,627   8,385
1097,562  937,597   8,413
944,465   948,531   8,447
1063,583  1013,580  8,442
1551,558  1013,603  8,318
1290,504  1014,532  8,402
1202,562  1018,475  8,450
583,520   1019,610  8,441
731,481   1022,590  8,532
665,484   1025,529  8,394
1451,542  1026,527  8,373
1135,634  1033,519  8,363
1200,542  1037,630  8,396
1637,545  1042,456  8,413
1399,521  1044,580  8,392
1204,506  1045,448  8,377
1676,446  1049,557  8,336
756,670   1049,557  8,426
1396,663  1050,631  8,392
1049,573  1074,543  8,443
1283,500  1076,629  8,442
995,452   1078,472  8,563
1064,553  1078,584  8,421
905,513   1085,606  8,599
991,563   1086,563  8,389
1225,513  1098,520  8,399
1013,600  1111,410  8,655
1469,629  1126,620  8,370
1096,531  1127,604  8,388
643,444   1134,564  8,509
1377,550  1134,580  8,463
839,540   1136,514  8,420
1589,635  1158,601  8,363
1184,584  1161,562  8,399
1156,581  1164,586  8,417
1340,586  1169,544  8,336
928,600   1183,624  8,436
1477,502  1198,590  8,350
1358,738  1202,594  8,434
849,591   1223,525  8,596
740,509   1225,550  8,413
849,489   1242,586  8,387
1321,565  1257,582  8,380
1139,533  1259,625  8,382
1587,482  1288,635  8,346
1161,521  1302,683  8,410
1605,515  1305,592  8,425
1837,516  1322,714  8,330
1513,523  1324,537  8,329
816,589   1328,571  8,457
1373,596  1338,640  8,424
264,518   1342,562  8,518
1788,640  1352,547  8,321
578,578   1355,574  8,349
1351,530  1355,586  8,507
1220,615  1358,460  8,424
1087,647  1375,635  8,449
1823,562  1384,547  8,382
1042,478  1402,616  8,405
462,475   1404,516  8,391
1073,560  1416,570  8,411
1051,486  1417,567  8,381
751,512   1458,630  8,365
1061,551  1477,580  8,477
1337,584  1485,583  8,375
1384,500  1511,590  8,437
1036,615  1515,638  8,428
1141,573  1518,623  8,350
1014,494  1530,628  8,387
1183,576  1545,620  8,386
732,494   1596,550  8,384
1625,524  1599,632  8,352
1034,586  1606,585  8,469
677,495   1636,495  8,385
1370,584  1656,502  8,349
724,566   1659,521  8,379
791,538   1670,585  8,379
1467,502  1696,547  8,311
928,575   1708,641  8,510
1748,482  1713,587  8,400
780,531   1714,624  8,370
916,609   1725,589  8,444
1452,446  1748,573  8,377
1688,591  1778,618  8,423
717,507   1800,495  8,382
1761,485  1816,538  8,315
1055,529  1869,578  8,311
1641,510  1888,491  8,354
1083,535  1911,535  8,298
1599,515  1935,585  8,310
1190,564  1936,637  8,307
150,579   2001,607  8,309
254,520   2041,581  8,447
432,602   159,575   8,316
700,602   698,606   8,396
1223,570  723,629   8,353
761,577   742,619   8,368
836,558   849,603   8,373
505,536   1267,622  8,484
1614,572  1621,596  8,398
1003,560  825,592   8,401
783,546   842,602   8,505
1332,517  932,651   8,355
463,584   549,563   8,432
1293,467  938,746   8,924
131,590   777,802   9,051
1295,548  937,496   9,080
816,427   966,630   8,462
558,575   971,599   8,476
822,565   972,541   8,521
1257,513  973,559   8,374
838,582   974,560   8,440
1228,507  980,552   8,362
262,572   981,579   8,402
919,486   995,594   8,391
1004,598  997,562   8,469
1375,564  1001,681  8,382
774,638   1002,558  8,409
792,516   1004,612  8,400
1089,443  1007,493  8,466
1009,531  1007,602  8,398
1214,631  1011,427  8,640
131,512   775,374   8,913
755,530   969,584   8,361
