761	237.40	1.10
218	247.48	0.31
213	226.56	0.71
566	218.51	0.46
158	241.95	0.59
267	222.99	0.60
1108	236.65	0.45
328	210.63	0.48
237	245.00	0.69
478	229.89	0.55
378	222.67	0.52
338	255.64	0.48
294	259.28	0.40
336	221.30	0.86
994	242.01	1.05
281	218.73	0.36
527	226.26	0.749
1115	225.75	0.34
524	236.59	0.40
544	241.00	0.43
300	232.16	0.60
178	215.14	0.42
190	245.03	0.52
401	235.48	0.62
751	225.53	0.60
396	219.16	0.65
450	216.09	0.64
1158	229.93	0.903
271	249.56	0.64
547	251.09	0.95
529	217.27	0.55
357	264.42	0.57
397	223.60	0.45
322	211.69	0.62
157	234.62	0.37
284	229.48	0.49
150	197.37	0.49
377	241.15	0.60
1342	239.22	0.42
383	218.60	0.47
351	224.52	0.35
347	225.20	0.64
163	248.37	0.32
491	215.53	0.39
1107	241.90	0.39
865	223.04	0.40
228	231.76	0.54
570	221.73	0.62
557	219.22	0.36
883	246.81	0.69
219	240.51	0.40
217	232.79	0.38
261	216.83	0.34
170	218.57	0.59
920	243.78	0.91
238	224.77	0.52
187	247.03	0.52
168	219.27	0.44
293	249.23	0.60
845	247.44	0.45
396	226.86	0.66
353	253.25	1.80
448	237.91	0.40
168	242.96	0.49
298	248.53	0.60
424	260.03	0.57
233	227.41	0.86
151	251.18	0.63
537	256.31	0.48
421	230.75	0.61
185	237.80	0.36
168	228.74	0.54
356	216.74	0.77
520	247.32	0.44
1385	-29.72	0.36
602	247.46	0.38
807	216.88	0.45
388	237.63	0.39
874	232.63	0.81
838	-30.90	0.39
985	233.85	0.78
557	248.95	0.33
938	229.28	0.76
530	228.74	0.32
676	248.12	0.41
978	237.61	0.55
1463	-63.99	0.42
257	241.84	0.77
271	226.17	0.70
587	225.58	0.38
666	215.94	0.40
593	222.06	0.51
285	243.35	0.76
261	240.05	0.55
377	234.15	0.53
748	228.87	0.52
575	221.27	0.54
353	207.76	0.55
603	235.90	0.93
688	229.07	0.40
1228	-12.78	0.41
265	231.78	0.48
452	245.28	0.48
554	237.47	0.52
972	217.20	0.37
242	228.47	0.46
873	245.85	0.34
327	225.33	0.72
236	225.05	0.52
390	228.39	0.43
694	231.50	0.42
211	235.83	0.33
875	227.84	0.45
775	229.63	0.61
205	257.83	0.61
1049	238.91	0.42
920	233.79	0.41
451	223.78	0.58
385	240.92	0.405
692	234.32	0.77
603	227.19	0.94
763	229.60	0.648
379	235.11	0.48
223	254.45	0.49
987	251.11	0.61
1186	-1.36	0.43
479	209.06	0.31
316	260.72	0.42
820	232.69	0.39
426	208.32	0.38
305	243.95	0.64
352	231.71	0.460
292	237.00	0.44
575	229.27	1.14
912	226.71	0.48
1018	230.27	0.33
316	216.17	0.68
492	247.36	0.67
536	228.75	0.43
463	241.30	0.45
248	227.22	0.33
591	230.69	0.77
450	236.02	0.63
327	227.48	0.66
344	238.03	0.45
713	225.06	1.15
584	240.86	0.37
658	241.98	1.70
1046	238.79	0.98
473	238.56	0.42
268	228.07	0.37
334	220.11	0.56
392	241.87	0.48
1080	233.53	0.33
1316	232.00	1.07
531	229.28	0.42
265	252.73	0.25
821	221.45	0.30
473	214.24	0.90
501	261.00	0.60
672	241.69	1.51
320	227.91	0.69
272	228.58	0.65
622	229.73	0.92
922	224.82	0.78
230	235.58	0.27
266	212.82	0.54
462	222.35	0.44
487	249.04	0.95
569	233.11	0.45
266	232.38	1.05
955	223.80	0.71
308	237.48	0.42
988	229.37	0.58
249	217.99	0.50
615	226.36	0.63
417	244.60	0.86
311	238.09	0.23
617	215.75	0.64
495	239.72	0.25
829	225.27	0.40
332	218.00	0.41
237	256.78	1.12
236	253.50	0.80
563	225.09	0.31
639	227.63	1.03
210	242.77	0.74
430	266.75	0.90
574	226.75	0.37
601	243.02	0.59
334	236.28	0.58
574	232.85	0.87
342	209.09	0.50
608	247.17	0.87
539	240.27	0.48
943	247.23	1.06
438	250.59	1.31
215	263.06	0.64
357	231.72	0.48
362	234.94	0.44
231	218.17	0.38
551	232.15	1.09
587	241.28	1.22
657	243.03	0.81
503	239.60	1.66
437	227.73	0.70
1282	235.01	1.06
1190	209.27	0.97
503	227.70	0.51
285	225.61	0.28
429	236.50	1.14
349	248.65	0.39
616	215.19	0.63
749	221.13	0.46
679	237.19	2.24
547	235.08	1.12
1066	247.93	1.51
343	245.04	0.41
399	232.51	0.40
775	227.02	0.70
946	239.72	0.96
272	226.05	0.61
201	217.93	0.80
1167	230.02	0.95
639	248.82	1.58
1109	223.69	1.22
855	230.90	0.89
821	233.72	1.25
1314	240.44	0.98
569	233.28	0.54
727	240.87	0.41
237	244.33	1.52
421	241.08	0.61
580	236.48	2.03
699	223.92	0.51
232	251.99	0.33
243	232.29	0.35
398	234.35	1.04
668	232.20	1.14
681	235.02	1.11
997	233.31	0.33
279	208.53	0.46
304	224.44	0.48
248	224.64	0.59
735	226.17	0.82
1237	233.74	0.92
1110	223.01	2.09
672	232.51	1.03
481	213.21	0.78
343	231.47	0.39
881	240.73	0.69
862	249.58	0.84
631	226.07	0.28
853	235.26	0.66
757	232.67	0.81
442	226.29	1.65
444	236.37	0.41
535	250.69	0.99
373	224.32	0.91
566	239.75	1.34
514	234.61	0.52
953	226.55	0.59
691	236.11	0.65
702	238.82	1.17
723	232.50	0.55
648	245.15	0.59
686	227.32	0.71
784	260.12	0.65
1122	241.97	1.36
333	226.77	0.49
1050	234.19	0.77
1151	211.96	3.07
941	235.47	1.75
1301	232.02	1.05
685	-2.47	0.71
445	213.59	0.53
630	219.35	2.39
472	247.25	1.03
243	243.12	0.47
543	223.38	0.69
460	217.32	0.86
512	235.62	0.27
412	249.60	1.40
265	219.80	0.53
643	222.39	0.51
234	230.57	0.49
901	238.87	0.68
852	233.11	1.05
556	241.36	0.77
553	239.93	0.57
559	211.50	1.14
1070	230.90	0.89
403	227.64	0.43
722	234.29	0.74
591	222.63	1.07
541	230.15	0.83
1281	233.90	0.98
327	237.42	0.53
607	227.73	0.94
666	233.56	0.75
356	227.69	0.61
888	241.72	1.12
593	249.68	0.71
650	248.21	1.80
633	248.45	1.06
690	240.02	1.00
1163	235.76	0.91
1135	-20.43	0.88
1235	222.42	0.92
1043	238.50	0.74
487	219.09	1.99
931	225.87	1.75
487	237.91	1.15
1182	234.29	1.10
1074	241.31	1.19
728	240.47	0.47
475	236.13	0.91
571	249.79	1.08
1000	231.52	1.45
1046	221.02	1.04
536	224.97	1.24
576	237.07	0.90
715	217.15	1.01
551	259.58	1.26
526	234.74	1.05
925	208.85	1.22
846	225.90	0.99
678	239.56	0.48
799	234.61	0.83
716	223.04	1.51
842	232.18	1.58
1242	216.53	0.56
1204	230.02	0.91
1017	233.61	2.04
514	205.30	2.139
302	236.13	1.18
558	247.31	0.65
196	232.77	2.624
138	238.30	2.324
661	234.21	0.50
220	241.35	1.48
301	238.03	0.30
469	218.15	0.32
502	229.47	1.35
34	225.24	0.52
66	242.94	0.871
45	208.14	0.56
38	211.46	0.46
62	251.00	0.31
19	262.40	0.54
64	211.29	0.32
61	233.87	0.39
56	215.39	0.63
54	227.39	0.53
120	234.54	0.68
74	-45.13	0.60
107	252.92	0.50
174	204.10	0.65
159	218.64	0.50
176	244.25	0.55
185	249.38	0.760
123	221.86	0.64
118	247.45	0.52
83	233.45	0.490
85	216.52	0.49
147	199.68	0.54
161	227.30	0.58
125	216.06	0.78
112	215.86	0.29
99	228.42	0.34
97	232.75	0.35
191	220.29	0.80
189	206.87	0.37
205	-55.15	1.18
181	238.09	0.47
169	232.52	0.69
107	238.20	0.46
87	205.24	0.61
102	239.35	0.53
106	249.16	0.79
123	239.84	0.34
146	224.15	0.60
167	237.15	0.45
123	245.79	0.71
172	237.72	0.613
203	223.10	0.32
215	249.21	0.45
68	260.34	0.41
83	206.36	0.38
128	220.12	0.37
 	228.66	0.58
155	237.90	0.57
108	211.69	0.39
132	228.78	0.39
131	245.95	0.400
171	207.16	0.27
196	213.68	0.51
163	230.12	0.65
221	240.17	0.717
208	238.95	0.66
215	223.16	0.55
163	226.07	0.46
195	228.15	0.41
245	237.61	0.89
80	272.86	0.60
70	255.20	0.97
190	249.17	1.11
51	218.86	0.81
162	227.51	0.25
64	238.58	0.58
150	227.82	0.63
108	262.96	0.85
81	248.51	1.21
116	231.00	0.48
126	241.29	0.46
153	212.21	0.56
129	257.12	0.42
154	230.29	0.63
143	226.32	0.54
133	210.95	0.53
158	260.96	0.69
133	268.85	1.04
126	224.71	3.89
70	210.00	0.53
57	227.81	1.28
88	233.67	1.55
165	248.08	0.51
83	262.52	2.13
125	216.62	0.80
137	252.27	1.26
159	226.05	0.62
152	225.85	0.35
152	236.01	0.93
146	236.43	0.77
55	195.36	0.57
129	260.25	0.56
142	262.35	0.87
105	237.41	0.58
166	251.16	0.61
146	222.70	0.79
131	243.43	0.69
126	249.70	0.49
116	257.98	1.02
44	253.07	1.28
66	231.94	1.17
79	209.73	0.62
76	213.08	1.57
94	231.23	0.83
100	228.94	0.53
162	215.68	0.60
139	236.66	0.49
10	209.51	1.11
51	254.18	5.996
82	241.52	1.69
47	232.42	1.36
144	247.11	0.58
145	264.23	0.85
146	215.49	0.65
123	250.98	0.73
143	204.20	0.87
112	226.14	0.79
124	249.12	0.81
137	239.26	0.63
113	205.21	0.73
65	243.32	0.85
78	251.78	0.87
104	213.10	0.75
100	207.15	0.90
71	210.32	0.72
17	214.30	1.12
65	213.48	1.87
106	212.73	0.76
109	212.47	0.94
58	233.78	1.02
62	253.55	0.75
59	276.63	0.44
121	205.02	0.86
71	257.09	0.56
147	215.51	1.00
92	245.76	0.74
125	200.65	0.41
