0.50	 13.27	 19
1.50	 13.12	 99
2.50	 12.54	 189
3.50	 12.28	 231
4.50	 12.03	 256
6.50	 11.24	 785
9.50	 8.25	 630
13.50	 10.32	 762
18.00	 6.54	 381
22.00	 5.39	 180
26.00	 4.89	 107
36.50	 4.85	 102
