64	20 13 44.21	-70 39 40.4	20 13 44.21	-70 39 40.4	108.7	1.0
65	20 13 27.70	-41 40 20.4	20 13 27.70	-41 40 20.4	-145.5	0.8
66	20 12 25.57	-49 05 22.2	20 12 25.57	-49 05 22.2	0.8	1.0
67	20 11 09.75	-41 49 23.8	20 11 09.75	-41 49 23.8	144.8	0.9
68	20 08 23.08	-44 55 51.7	20 08 23.08	-44 55 51.7	-8.0	1.2
69	20 05 44.63	-59 11 18.1	20 05 44.63	-59 11 18.1	-94.9	1.0
70	20 03 31.25	-54 06 30.0	20 03 31.25	-54 06 30.0	10.3	0.8
71	20 01 35.61	-47 07 15.1	20 01 35.61	-47 07 15.1	146.2	1.4
72	20 00 47.54	-61 24 50.5	20 00 47.54	-61 24 50.5	42.5	0.8
73	19 57 57.10	-51 54 39.2	19 57 57.10	-51 54 39.2	-38.5	1.2
74	19 57 00.86	-84 57 47.0	19 57 00.86	-84 57 47.0	154.5	1.1
75	19 50 56.54	-43 38 36.1	19 50 56.54	-43 38 36.1	-142.1	1.3
76	19 48 38.61	-50 31 38.3	19 48 38.61	-50 31 38.3	160.9	0.6
77	19 47 31.93	-55 07 25.6	19 47 31.93	-55 07 25.6	419.6	0.8
78	19 45 05.14	-61 47 34.5	19 45 05.14	-61 47 34.5	184.0	1.2
79	19 44 14.76	-45 19 23.2	19 44 14.76	-45 19 23.2	-137.7	0.7
80	19 44 12.71	-45 29 07.4	19 44 12.71	-45 29 07.4	27.8	0.6
81	19 43 32.82	-48 58 17.9	19 43 32.82	-48 58 17.9	-55.8	1.1
82	19 36 37.00	-62 12 21.1	19 36 37.00	-62 12 21.1	25.8	0.7
83	19 34 43.13	-46 21 30.6	19 34 43.13	-46 21 30.6	59.2	0.9
84	19 32 51.48	-47 25 41.1	19 32 51.48	-47 25 41.1	58.9	0.9
85	19 32 38.30	-39 43 18.2	19 32 38.30	-39 43 18.2	-353.5	0.8
86	19 31 31.61	-43 56 39.7	19 31 31.61	-43 56 39.7	77.9	0.7
87	19 31 07.95	-40 25 14.1	19 31 07.95	-40 25 14.1	-18.1	0.5
88	19 29 19.71	-38 59 30.5	19 29 19.71	-38 59 30.5	-119.2	1.1
89	19 29 09.38	-60 11 25.2	19 29 09.38	-60 11 25.2	-29.1	0.8
90	19 29 06.96	-50 17 37.4	19 29 06.96	-50 17 37.4	36.8	0.8
91	19 25 06.11	-68 38 02.6	19 25 06.11	-68 38 02.6	148.0	1.2
92	19 24 50.17	-53 13 52.6	19 24 50.17	-53 13 52.6	-48.2	0.7
93	19 23 09.66	-55 34 56.8	19 23 09.66	-55 34 56.8	191.4	0.8
94	19 23 07.62	-72 32 34.7	19 23 07.62	-72 32 34.7	54.0	1.3
95	19 22 14.70	-63 05 12.0	19 22 14.70	-63 05 12.0	17.3	0.6
96	19 21 48.35	-64 21 15.3	19 21 48.35	-64 21 15.3	198.6	0.7
97	19 19 31.41	-65 47 07.0	19 19 31.41	-65 47 07.0	310.6	1.0
98	19 16 29.69	-39 10 03.0	19 16 29.69	-39 10 03.0	-29.5	0.9
99	19 13 58.88	-49 34 03.6	19 13 58.88	-49 34 03.6	58.3	0.8
100	19 13 25.74	-64 25 47.7	19 13 25.74	-64 25 47.7	-6.0	0.9
101	19 11 35.67	-73 04 36.2	19 11 35.67	-73 04 36.2	143.1	0.7
102	19 11 22.23	-47 08 16.3	19 11 22.23	-47 08 16.3	-127.4	1.1
103	19 10 57.28	-60 01 24.5	19 10 57.28	-60 01 24.5	-30.0	1.1
104	19 05 52.78	-40 58 39.3	19 05 52.78	-40 58 39.3	-117.4	0.6
105	19 04 17.95	-41 14 15.7	19 04 17.95	-41 14 15.7	-65.2	0.9
106	19 03 22.49	-42 20 14.4	19 03 22.49	-42 20 14.4	138.3	0.9
107	19 02 54.94	-78 37 01.1	19 02 54.94	-78 37 01.1	281.5	1.1
108	18 47 40.42	-70 18 48.9	18 47 40.42	-70 18 48.9	235.1	0.5
109	18 46 51.94	-61 23 31.7	18 46 51.94	-61 23 31.7	163.5	0.7
110	18 44 38.80	-63 50 16.7	18 44 38.80	-63 50 16.7	25.0	1.2
111	18 42 02.48	-61 33 42.6	18 42 02.48	-61 33 42.6	95.7	1.1
112	18 41 21.03	-57 26 15.1	18 41 21.03	-57 26 15.1	25.6	0.6
