    119.14200618       8.66616980
    147.00861946       8.46337332
    178.86917214       8.22677742
    236.72239763       7.82118445
    300.39149117       7.41559148
    331.34771168       7.07759734
    345.57280149       6.84100144
    350.44893656       6.94239968
    375.88129111       6.63820495
    420.46732461       6.60440554
    476.97870024       6.40160905
    476.97870024       6.33401022
    518.81215450       6.40160905
    533.55663804       5.99601608
    548.72015532       5.75942018
    580.35226477       5.79321960
    631.25210560       5.48902487
    658.35239203       5.38762662
    696.30447875       4.94823424
    757.37391759       4.88063541
    768.06068896       4.47504244
    812.33713760       4.27224596
    859.16599379       4.40744361
    896.05085218       4.33984478
    961.07796624       4.17084771
   1016.48129546       3.90045240
   1153.09775277       3.73145533
   1153.09775277       2.98786822
   1289.87512438       3.15686529
   1383.48237517       3.19066470
   1403.00372319       2.51467642
   1463.23608110       2.34567935
   1569.42427267       2.07528403
   1731.15802774       1.39929575
   1830.95421651       1.12890043
   1991.53819943       0.55431039
   2291.08165536      -0.32447438
   2562.84363409      -1.27085797
