0.50	 -nan
1.50	 -nan
2.50	 -nan
3.50	 12.05
4.50	 11.41
6.50	 10.82
10.00	 10.64
14.00	 7.56
18.00	 6.00
22.00	 4.74
26.00	 3.21
36.50	 2.55
