#c C1_1 i %5d 
#c C2_1 d %13.11g 
#c C3_1 d %9.7g 
#c C4_1 d %9.7g 
#c C5_1 d %10.8g 
#c C6_1 d %16.14g 
#c C7_1 i %7d 
#c C8_1 d %23.16g 
#c C9_1 d %12.10g 
#c C10_1 i %6d 
#c C11_1 ch*12 %-12s 
#c C1_2 i %5d 
#c C2_2 d %14.12g 
#c C3_2 d %9.7g 
#c C4_2 d %9.7g 
#c C5_2 d %10.8g 
#c C6_2 d %16.14g 
#c C7_2 i %7d 
#c C8_2 d %23.16g 
#c C9_2 d %11.9g 
#c C10_2 i %7d 
#c C11_2 ch*12 %-12s 
#k IRAF     = NOAO/IRAFV2.16.1        version    %-23s     
#k HOST     = juan-UX303LA            computer   %-23s     
#k DATE     = 2016-03-27              yyyy-mm-dd %-23s     
#k TIME     = 21:34:27                hh:mm:ss   %-23s     
#k PACKAGE  = daophot                 name       %-23s     
#k TASK     = allstar                 name       %-23s     
#k IMAGE    = I                       imagename  %-23s     
#k PHOTFILE = I.mag.1                 filename   %-23s     
#k PSFIMAGE = I_psf.fits              imagename  %-23s     
#k ALLSTARF = I.als.1                 filename   %-23s     
#k REJFILE  = I.arj.1                 filename   %-23s     
#k SUBIMAGE = I.sub.1                 imagename  %-23s     
#k SCALE    = 1.                      units/pix  %-23.7g   
#k DATAMIN  = INDEF                   counts     %-23.7g   
#k DATAMAX  = INDEF                   counts     %-23.7g   
#k GAIN     = 1.                      e-/adu     %-23.7g   
#k READNOIS = 5.9                     electrons  %-23.7g   
#k OTIME    = INDEF                   timeunit   %-23s     
#k XAIRMASS = INDEF                   number     %-23.7g   
#k IFILTER  = INDEF                   filter     %-23s     
#k RECENTER = yes                     switch     %-23b     
#k GRPSKY   = yes                     switch     %-23b     
#k FITSKY   = no                      switch     %-23b     
#k PSFMAG   = 13.382                  magnitude  %-23.7g   
#k PSFRAD   = 13.                     scaleunit  %-23.7g   
#k FITRAD   = 4.                      scaleunit  %-23.7g   
#k ANNULUS  = 53.25                   scaleunit  %-23.7g   
#k DANNULUS = 31.95                   scaleunit  %-23.7g   
#k MAXITER  = 50                      number     %-23d     
#k MAXGROUP = 60                      number     %-23d     
#k FLATERRO = 0.75                    percentage %-23.7g   
#k PROFERRO = 5.                      percentage %-23.7g   
#k CLIPEXP  = 6                       number     %-23d     
#k CLIPRANG = 2.5                     sigma      %-23.7g   
#k MERGERAD = INDEF                   scaleunit  %-23.7g   
#
#N ID    XCENTER   YCENTER   MAG         MERR          MSKY           NITER     U ##    pixels    pixels    magnitudes  magnitudes    counts         ##        F %-9d  %-10.3f   %-10.3f   %-12.3f     %-14.3f       %-15.7g        %-6d      
#
#N         SHARPNESS   CHI         PIER  PERROR                                 U         ##          ##          ##    perrors                                F         %-23.3f     %-12.3f     %-6d  %-13s                                  
#
  351       398.713   479.696    14.843      0.049         5826.776       5       8.504000000000001        28.15      0 No_error      1092        397.891   481.621    17.019      0.011         1872.089       7                   1.763       4.274       0 No_error    
  442       823.702   550.361    15.213      0.051         11709.85       5       8.029000000000001       22.902      0 No_error      1351        822.597   552.754    17.362      0.013         3963.671       7                   1.093       3.624       0 No_error    
  453      1451.564   561.786    14.595       0.04         8187.721       5       7.748000000000001       23.703      0 No_error      1387       1450.214   563.763    16.829      0.013         2798.719       7       2.760000000000001       5.141       0 No_error    
  607      1145.428   676.267    14.462      0.004         13668.45       5      -1.794000000000001        2.318      0 No_error      1923       1144.284   678.238    15.995      0.012         4780.227       6                   1.791       5.982       0 No_error    
  661        841.53   706.512     14.48      0.005         14023.05       5      -1.331000000000001        2.551      0 No_error      1993         841.33   707.626    15.803      0.011          4446.16       6                   1.562       6.072       0 No_error    
  699       673.443   736.088    14.913      0.052         10223.15       5       8.380000000000002       26.394      0 No_error      2127        672.962   738.557    17.078      0.015         3668.699       6       2.329000000000001       5.061       0 No_error    
  710       911.639   741.635    15.473      0.052         14833.33       5       9.307000000000002       19.155      0 No_error      2157        910.041   743.808    16.998      0.011         4800.517       6      0.8700000000000002       3.697       0 No_error    
  818       959.528   810.443    14.985      0.033         16307.03       5       8.945000000000002       14.489      0 No_error      2492        958.157   811.363    17.163      0.019         4926.801      11      -2.393000000000001       5.652       0 No_error    
  826      1025.368   815.651    15.651      0.028         15413.54       5       5.231000000000001        9.294      0 No_error      2530       1024.612   817.293    17.729      0.019         5152.187       5      -2.739000000000001       4.261       0 No_error    
  905      1388.697    859.56    14.391      0.004         10746.09       5                  -1.463        2.261      0 No_error      2741       1387.017   861.156    15.722      0.013         3590.379       6                   1.987       7.002       0 No_error    
  946      1425.567   888.896    14.744      0.043          9717.43       5       9.089000000000002       23.419      0 No_error      2860       1424.207   890.739    16.931      0.016         3236.755       7       2.152000000000001       6.181       0 No_error    
 1220      1218.215  1129.643    14.591      0.034         10416.13       5       8.400000000000002       19.023      0 No_error      3791       1217.474   1131.54    16.694      0.015         3512.112       6     0.09900000000000002       6.304       0 No_error    
 1249      1424.535  1152.609    14.341      0.004         7991.559       5                  -1.695         2.57      0 No_error      3863       1422.551  1154.477    15.641      0.014         2505.812       7                   2.629       8.048       0 No_error    
 1254      1196.552  1158.477    14.513      0.027         9854.301       5       7.594000000000002       15.893      0 No_error      3880       1195.605  1160.154    16.597      0.015         3436.523       5       1.156000000000001       6.186       0 No_error    
 1257      1013.975  1161.727    14.763      0.048         10365.32       5       9.830000000000001       25.807      0 No_error      3897       1012.927  1163.726    16.993      0.012         3514.604       7       1.794000000000001       4.107       0 No_error    
 1265      1119.532  1173.563    14.406      0.005         10274.48       5                  -1.763        2.763      0 No_error      3923       1119.679   1173.83    15.434      0.015         3425.002       7       1.780000000000001       9.143       0 No_error    
 1349       504.327  1267.242    14.323      0.004         5550.932       5      0.6720000000000001        2.178      0 No_error      4166        503.643  1268.975    16.187      0.014         1851.989       6       2.571000000000001       6.994       0 No_error    
 1522       832.888  1529.343    14.294      0.004         5504.594       5                  -2.335        2.582      0 No_error      4711         830.33  1531.576    15.079      0.021         1852.279       6                  -0.116      14.097       0 No_error    
 1523      1434.997   1529.87    15.033      0.051         4982.181       5       10.00400000000001       27.888      0 No_error      4713       1433.769  1531.646    17.182      0.011         1553.439       7      0.9700000000000002       4.152       0 No_error    
 1544       516.966  1601.966    14.276      0.004         4054.881       5                  -1.013        2.545      0 No_error      4807        516.582  1602.643    15.597      0.014         1372.879       7       2.944000000000001       8.661       0 No_error    
 1565      1369.609  1663.452    14.256      0.004         4550.447       5      -1.644000000000001        2.761      0 No_error      4874       1369.227  1661.814    15.056       0.02         1436.512       7                  -0.177       13.41       0 No_error    
 1573       697.746  1691.443    14.794      0.052          4214.56       5                  10.378       31.721      0 No_error      4906        696.607  1693.133    16.919      0.014           1356.5       7       1.914000000000001        5.73       0 No_error    
 1589      1288.593   1741.48    14.444      0.038         4252.979       5       9.199000000000001       24.927      0 No_error      4960       1287.555  1743.045    16.534      0.013         1371.517       6                   2.346       6.406       0 No_error    
 1617      1823.034  1869.331    14.414      0.038          3273.15       5                    10.6       25.077      0 No_error      5072       1821.963  1870.776    16.438      0.013         1067.621       7                   1.488       6.518       0 No_error    
 1652      1513.536  1985.198     14.79      0.054         3631.082       5       7.708000000000001       32.818      0 No_error      5175        1512.35  1987.067    16.902      0.015         1119.778       7       3.047000000000001       6.363       0 No_error    
   51      1442.059   122.053    14.228      0.005          5328.52       6                   1.615        2.945      0 No_error       178       1440.792   124.511    16.074      0.013         1743.112       7                   1.999       6.777       0 No_error    
   81      1113.364    176.15    14.813      0.042          7012.77       6                   7.771        23.49      0 No_error       275       1112.374   178.534    16.935      0.011         2272.903       6      0.1430000000000001       4.433       0 No_error    
   88      1122.729   188.986    14.274      0.003         6826.439       6                  -1.057        2.057      0 No_error       299       1121.772   190.957     15.96      0.013         2199.588       7      0.9640000000000002       7.081       0 No_error    
   94      1143.703   198.092    15.099      0.044         6885.838       6       7.215000000000001       22.628      0 No_error       317        1142.81    200.48    17.018      0.012         2198.367       6       1.176000000000001       4.572       0 No_error    
   96       818.293   200.315    14.682      0.048         6781.142       6                  10.691       27.934      0 No_error       324         817.37   202.898    16.877      0.013         2328.121       6                   1.491       5.052       0 No_error    
  109       585.161   218.104     14.43       0.03         6014.634       6       8.282000000000001       18.664      0 No_error       363        584.657   220.542    16.644       0.01         1947.457       6      0.3330000000000001       4.567       0 No_error    
  117      1642.927   225.044    14.206      0.003         4632.235       6      -1.482000000000001        2.179      0 No_error       387       1641.058   226.537    15.204       0.01         1503.691       6       3.063000000000001       6.333       0 No_error    
  122       884.535   227.941    14.726      0.047         7519.744       6       8.451000000000002       27.057      0 No_error       394        884.046    230.07    16.775      0.015         2609.985       7                    0.63       6.094       0 No_error    
  124       1963.19   229.221     14.67      0.044         3403.299       6       9.316000000000002       27.226      0 No_error       402       1961.941   231.543    16.852      0.016         1149.432       7       3.850000000000001       6.863       0 No_error    
  137       1079.26   247.441    14.307      0.005         8044.074       6                   1.446        2.794      0 No_error       443       1078.519   249.652    16.056       0.01         2610.895       7                   1.427        5.51       0 No_error    
  142       851.261   253.438    14.309      0.004         7905.416       6                  -1.212        2.288      0 No_error       455        850.273   255.507    15.765      0.011         2510.001       7       1.925000000000001       6.155       0 No_error    
  144      1251.954   254.642    14.895      0.041         7106.124       6       7.350000000000001        22.72      0 No_error       460       1250.918   256.854     17.03      0.018         2459.788       6                  -1.856       6.936       0 No_error    
  150      1419.448   264.088    14.252      0.003         6107.204       6                  -1.609        1.768      0 No_error       476       1418.386   264.217    15.114      0.013         2094.831       6      0.7780000000000001       8.757       0 No_error    
  157      1896.059   273.012    14.174      0.004         4028.118       6     -0.4290000000000001        2.443      0 No_error       504       1893.985   274.941    15.375      0.013         1255.145       7                   1.806       8.161       0 No_error    
  160      1718.345   284.045    15.044      0.049          4756.92       6                  10.222       27.396      0 No_error       522       1717.482   286.339    17.167      0.014         1466.801       6       2.711000000000001       5.517       0 No_error    
  167      1522.626   297.987    14.241      0.004         5759.344       6      -2.430000000000001        2.632      0 No_error       551        1521.59   300.927    15.169       0.01         1831.957       6                   2.862       6.275       0 No_error    
  185      1651.387   323.156    14.223      0.004         4970.067       6                   -2.19        2.399      0 No_error       603       1650.539   325.194    15.647      0.013         1568.963       6                    1.93       7.775       0 No_error    
  194      1662.004   333.383     14.66      0.046         4899.781       6       6.924000000000001       27.772      0 No_error       630       1660.997   335.431    16.819       0.01         1611.075       6                   0.621       4.119       0 No_error    
  220      1062.063   360.002    14.349      0.005          9678.41       6                  -0.601        2.648      0 No_error       688       1059.108   359.719    15.774      0.031          2849.56       8                   -1.17       16.53       0 No_error    
  226       973.644   366.582    14.351      0.004          9708.01       6                  -1.768        2.344      0 No_error       716          971.8   368.887    15.583      0.012         3129.993       7                   2.266       7.194       0 No_error    
  262      1493.805   402.026    14.277      0.005         6673.993       6                   2.241        2.783      0 No_error       812       1492.733   404.271    16.109      0.013         2074.972       6       2.628000000000001        6.63       0 No_error    
  260       1060.58   401.996    15.124      0.042         10498.34       6       8.677000000000001       19.997      0 No_error       799       1060.892   398.741    17.236      0.021         3338.081      12                   1.065       4.329       0 No_error    
  277       526.466   422.071    14.903      0.049         6795.351       6                  10.107       26.613      0 No_error       873         525.89   424.296    16.457      0.011         2246.363       7       1.994000000000001       5.343       0 No_error    
  275       481.477    423.12    14.292      0.003         6171.799       6     -0.6490000000000001        2.089      0 No_error       872        480.837   423.753    15.383       0.01         2113.464       8                   1.443       6.213       0 No_error    
  279       655.849   423.616    14.332      0.005         7797.176       6     0.09600000000000003        2.722      0 No_error       876        655.299    425.58    16.019      0.012         2458.923       7                   2.129       6.534       0 No_error    
  281        889.35   424.623    14.378      0.004          10275.3       6      -2.116000000000001        2.387      0 No_error       880        888.558   426.738    15.843      0.015         3342.027       6      0.5330000000000001       8.072       0 No_error    
  291        1587.3   431.384    14.252      0.004         6061.076       6                  -1.284        2.738      0 No_error       911       1585.236   432.953    15.556       0.01         2026.703       6      0.4890000000000001       5.876       0 No_error    
  295       533.842   434.836    14.746      0.045          6907.29       6       9.397000000000002       26.047      0 No_error       921        533.225   437.065    16.925      0.012         2367.843       6                   1.285       4.789       0 No_error    
  305       897.639   441.534    14.501      0.028         10580.56       6       8.921000000000002       15.805      0 No_error       951        896.779   443.895    16.578      0.011         3442.067       7                   1.091       4.635       0 No_error    
  342        65.852    473.82    14.586      0.047         3834.259       6                  10.507       29.492      0 No_error      1066         65.253   476.157    16.315      0.013         1222.725       7       2.993000000000001       6.744       0 No_error    
  349       712.934   476.745    14.359      0.005         9143.385       6     -0.1390000000000001        2.677      0 No_error      1076        713.286   477.455    15.503      0.013         2838.179       9                    2.81       7.269       0 No_error    
  355       975.635   484.477    14.397      0.005         11426.65       6                  -1.741         2.58      0 No_error      1114        974.715   485.636    15.249      0.008          3824.66       7       1.785000000000001        4.97       0 No_error    
  408         31.84   525.556    14.567      0.042         3692.016       6       6.631000000000002       26.869      0 No_error      1259         31.032   527.673    16.686      0.012          1191.89       6      0.6340000000000001       5.327       0 No_error    
  428      1845.877   538.399    14.215      0.018         4335.407       6       6.415000000000001       10.817      0 No_error      1301       1847.321   535.636     14.86      0.042         1419.028       5                  -6.967      29.558       0 No_error    
  422       432.886   533.849    15.052       0.05         6437.917       6                  10.806        26.85      0 No_error      1294        432.426   535.966    17.297      0.013         2199.117       5                   1.839       4.445       0 No_error    
  435       891.372    547.88    15.068      0.049         12742.38       6       9.994000000000001       22.447      0 No_error      1337        890.397   550.083    17.219      0.011         4087.706       6                   1.605       3.353       0 No_error    
  482      1367.849   580.911    14.366      0.004         10127.39       6      0.5480000000000001        2.001      0 No_error      1463       1366.837   582.832    15.994      0.014         3289.205       7                   2.306       7.042       0 No_error    
  487       915.472   585.227    14.456      0.004         13348.28       6      -1.753000000000001        2.026      0 No_error      1478        914.614   587.301    16.094      0.012         4469.192       6      0.6490000000000001       5.898       0 No_error    
  493      1887.347   586.643    14.723      0.048         4149.547       6       8.545000000000001       29.622      0 No_error      1490       1886.341   588.631    16.874      0.012         1379.459       7       1.652000000000001       4.932       0 No_error    
  488      1039.876   586.714     14.46      0.007         13511.63       6       4.531000000000002          3.6      0 No_error      1487       1039.006   588.605     16.19      0.011         4481.967       6      0.8940000000000003       4.876       0 No_error    
  495       420.672   587.515    14.302      0.004         6578.782       6                  -1.799        2.707      0 No_error      1467        421.515    586.76    14.941      0.036           2189.8       6      -3.761000000000001      24.563       0 No_error    
  508      1068.459   598.092    14.471      0.004          14237.5       6                  -1.025        2.054      0 No_error      1534        1067.52   600.051    16.063       0.01         4430.548       5      0.3200000000000001       5.198       0 No_error    
  517      1019.213   606.002     15.44       0.04         13765.78       6       7.156000000000001       15.502      0 No_error      1565       1018.161   608.034     17.58      0.016         4542.935       7       1.138000000000001        3.89       0 No_error    
  520       865.038   610.423    14.418      0.004         12807.45       6      -2.756000000000001        2.253      0 No_error      1577        864.373   612.592    15.743      0.011         4493.644       7                   1.711       5.859       0 No_error    
  537      1172.982   620.455    15.107      0.036         12590.37       6       7.406000000000001       16.177      0 No_error      1617       1172.113   622.504    17.243      0.014         4191.317       5     -0.6660000000000001       4.254       0 No_error    
  547       796.626   630.615    14.442      0.004         12487.25       6      -1.594000000000001        2.175      0 No_error      1659        796.326    631.44    15.697       0.01         4026.764       7                   1.268       5.539       0 No_error    
  571       822.527   650.769    14.477      0.005         13667.77       6                  -0.242        2.672      0 No_error      1734        820.282   652.357    16.219      0.019         4197.188       8      -3.318000000000001       8.989       0 No_error    
  580       1625.43   655.644    14.892      0.047          6461.27       6       9.106000000000001       26.247      0 No_error      1766       1624.522   657.578    16.974      0.012         2104.167       7       1.982000000000001       4.757       0 No_error    
  597       471.527    667.74    14.854      0.048         7329.533       6       9.246000000000002       26.852      0 No_error      1811        470.929   669.934    17.054       0.01         2175.525       6      0.4530000000000002       3.856       0 No_error    
  622      1310.186   685.356    14.396      0.005         11223.59       6                  -0.302        2.791      0 No_error      1891        1307.56   687.122    15.297      0.011         3878.664       6      0.9930000000000001       6.586       0 No_error    
  637       637.952   694.256    14.385      0.005         9175.406       6       2.930000000000001        2.859      0 No_error      1926        637.276   696.279    16.296      0.011         3088.719       7                   1.405       4.997       0 No_error    
  685      1267.561   728.608    14.424      0.004         12124.81       6     -0.7910000000000001        2.132      0 No_error      2092       1266.531   730.505    16.216      0.014         4001.851       6       1.842000000000001       6.555       0 No_error    
  689       616.255   733.328    14.376      0.004         8804.328       6      -1.744000000000001        2.081      0 No_error      2109        615.091   735.032    15.726      0.012         2962.811       6                   1.549       6.537       0 No_error    
  694       799.996   734.701    14.884      0.049         12508.38       6       9.277000000000002       24.186      0 No_error      2115        798.782    736.71    17.177      0.024         4227.188       9                   5.141       7.404       0 No_error    
  704       433.368   739.627    14.329      0.004         6954.627       6                  -1.584        2.618      0 No_error      2190        432.331   742.044     15.75      0.014          2271.47       7      0.7700000000000001        7.78       0 No_error    
  716       950.414   743.509     14.49      0.006         14363.48       6                   1.062         3.15      0 No_error      2166        950.197   744.598    15.914      0.016          4915.44       5       2.834000000000001       7.964       0 No_error    
  734      1092.203   754.064    15.186       0.04         14949.95       6                   5.332       16.679      0 No_error      2226       1091.161     756.1    17.251      0.017          4849.59      19                  -1.487       4.278       0 No_error    
  735       947.185   754.464    14.488      0.005         14264.93       6                   1.515        2.412      0 No_error      2224        946.003   756.217     16.23      0.012         4913.407       6       1.679000000000001       5.555       0 No_error    
  736      1583.036   754.523    14.798      0.048         6769.496       6                  11.119       27.021      0 No_error      2233       1582.029   756.564    17.002      0.011         2365.815       6      0.6520000000000001       3.966       0 No_error    
  739      1626.934    756.41    14.287      0.007         6187.748       6       5.918000000000001        4.506      0 No_error      2223       1625.791   758.446    16.181      0.012         2235.833       7                   1.055       5.873       0 No_error    
  766      1119.172   774.262    14.831      0.036         14495.58       6       6.653000000000001       17.674      0 No_error      2316       1118.058   775.425    16.948      0.019         5020.834       6      -3.202000000000001       6.275       0 No_error    
  770       951.353   777.588    15.098       0.04         15596.85       6       7.627000000000001       17.249      0 No_error      2340        950.066   779.462    17.181      0.018         4671.466       6      -2.766000000000001       5.434       0 No_error    
  783      1500.256   788.648    14.334      0.005         8273.818       6      0.9560000000000002        2.835      0 No_error      2389       1500.123   789.947    16.138      0.017         2821.128       7                  -1.998       8.773       0 No_error    
  795       989.484   793.924    14.648      0.031         15229.91       6       9.334000000000001       15.336      0 No_error      2419        988.232   796.287    16.239      0.015         5221.307       7                    2.15        6.63       0 No_error    
  802      1014.433   800.689    14.539      0.005           16258.       6                   1.241        2.339      0 No_error      2455       1013.437   802.547    16.155      0.015         5267.306       7       2.557000000000001       6.669       0 No_error    
  806       869.872   803.875    14.629      0.027         14655.66       6       7.102000000000002       13.693      0 No_error      2474        868.834   806.212    16.787      0.014         4648.511       5      -1.128000000000001       5.132       0 No_error    
  822      1158.875   811.765    15.103      0.036         14011.69       6       6.625000000000001       15.902      0 No_error      2502       1157.801   813.981    17.171      0.019         4619.913       7      -2.434000000000001       6.039       0 No_error    
  833      1095.444   820.584    14.502      0.004         15059.07       6                  -1.315        2.174      0 No_error      2552       1094.134   821.956      15.7      0.012         5212.855       7                   1.972       6.463       0 No_error    
  839       435.393   823.566    14.343       0.01         6380.104       6       6.852000000000001        5.941      0 No_error      2572        435.114   825.955    16.205      0.011         2141.737       6      0.8640000000000002       5.481       0 No_error    
  867       817.149   839.394    14.968      0.045         14798.33       6       9.852000000000002       20.773      0 No_error      2641        816.653   842.064    16.961      0.023         4549.093       6                  -1.795       8.099       0 No_error    
  868      1043.338   839.824    15.192      0.041         14744.79       6       5.836000000000001       17.281      0 No_error      2644       1042.367   841.711    17.425      0.019         5285.425      21      0.6270000000000001        3.57       0 No_error    
  871      1345.509   841.572    14.405      0.005         11557.57       6                  -1.677        2.553      0 No_error      2650       1343.936   843.436    15.882      0.011         4077.202       7      0.6970000000000001       5.708       0 No_error    
  882       927.778   843.574    14.526      0.004         15797.32       6      -1.659000000000001        1.958      0 No_error      2654        926.954   844.383    15.392       0.01         5109.174       7                   1.371       5.634       0 No_error    
  877        712.84    845.04    14.425      0.004         10762.92       6      0.4050000000000001        2.249      0 No_error      2672        712.547   846.581    15.996      0.013         3688.206       6       1.613000000000001       6.527       0 No_error    
  898       710.607   855.543    14.421      0.005         10679.89       6      0.1430000000000001        2.704      0 No_error      2724        709.715   857.491    16.188      0.014          3532.64       7                   1.887       6.694       0 No_error    
  912       808.107   865.152    14.485      0.005          13378.7       6                   1.747        2.676      0 No_error      2765        807.311   867.076    16.188      0.015         4479.014       7       3.226000000000001       6.951       0 No_error    
  916       992.555   868.955    14.515      0.004         15020.24       6      -2.379000000000001        2.014      0 No_error      2775        991.207   870.233    16.136      0.014         5060.008       7                   1.265       6.766       0 No_error    
  934      1370.281   877.454    14.415      0.004         11860.32       6                  -1.375         2.38      0 No_error      2840       1369.576   878.967    15.848      0.014         3585.163       6                   2.314       7.351       0 No_error    
  964       935.221   898.427     14.51      0.004         14714.14       6                   -0.21        1.938      0 No_error      2897        933.483   900.443    16.066      0.013         5144.479       8      0.8670000000000001       5.972       0 No_error    
  978      1068.593   909.486    14.497      0.004         14387.47       6      -1.482000000000001         2.21      0 No_error      2945       1067.402   911.281    15.932      0.015         4915.453      16                   1.529       6.402       0 No_error    
 1008       929.504   932.489    14.489      0.004         13879.63       6                  -1.263        2.161      0 No_error      3049        928.494   934.308    16.018      0.012         4567.423       7                   1.922       5.926       0 No_error    
 1028       770.731   944.606    14.928      0.043         11113.82       6       7.825000000000001       21.836      0 No_error      3096        769.707   946.394    16.291      0.011         3723.564       6                   1.124       5.279       0 No_error    
 1026      1140.664   946.455    14.465      0.004         13064.15       6      -1.671000000000001        2.052      0 No_error      3106       1139.519   946.999    15.503      0.013         4467.477       6                   2.069       7.615       0 No_error    
 1038       725.033   956.034    14.427      0.004         10704.37       6     -0.8180000000000001        1.989      0 No_error      3144        724.405   957.659    15.927      0.012         3694.104       7       2.075000000000001       6.368       0 No_error    
 1042       794.873   956.762    14.918      0.053         10980.45       6                  11.917       26.988      0 No_error      3148        793.753   958.689    17.186      0.017         4033.433       7       3.330000000000001       5.314       0 No_error    
