3.913433	 8.732411	
3.850097	 16.405065	
3.844454	 22.552819	
3.826607	 14.258717	
3.829688	 14.006930	
3.806459	 15.241479	
3.827624	 19.985718	
3.817172	 24.725405	
3.761059	 26.524145	
3.725211	 15.508112	
3.753643	 28.755249	
3.737724	 20.941456	
3.745392	 20.359143	
3.723526	 22.520177	
3.686525	 19.544997	
3.658254	 15.133885	
3.642103	 20.938116	
3.624674	 22.224072	
3.607463	 -9.190422	
3.544137	 12.558929	
3.517890	 14.430350	
3.472281	 18.636059	
3.497467	 8.936361	
3.482856	 13.919426	
3.474987	 15.223226	
3.443554	 13.126433	
3.429003	 12.304699	
3.414452	 16.131853	
3.349979	 11.580224	
4.347822	 10.519126	
4.602628	 8.675993	
