201.81686	-47.59584	247.377	    0.226
201.97864	-47.58834	237.910     0.382
201.84398	-47.58797	258.894     0.455
201.82367	-47.57775	234.816     0.197
201.83088	-47.57697	239.967     0.781
201.86429	-47.57538	243.917     0.464
201.85092	-47.57241	237.596     0.949
201.92870	-47.57214	240.699     0.190
201.87636	-47.57052	242.500     0.539
201.90458	-47.56882	221.441     0.317
201.86038	-47.56709	236.577     0.628
201.82383	-47.56248	248.503     0.368
201.97625	-47.55429	240.667     0.354
201.83155	-47.55249	266.350     0.167
201.88523	-47.55208	254.858     0.122
201.81850	-47.54905	248.690     0.401
201.84058	-47.54850	257.947     0.087
201.92044	-47.54116	215.622     0.419
201.87329	-47.53890	235.071     0.640
201.83370	-47.53497	232.576     0.231
201.83452	-47.53410	242.982     0.278
201.89233	-47.53270	240.677     0.261
201.84120	-47.52330	257.368     0.186
201.81717	-47.52238	230.824     0.235
201.88969	-47.52212	240.192     0.356
201.87586	-47.52057	244.288     0.636
201.93998	-47.51807	249.931     0.135
201.81738	-47.51784	223.791     0.483
201.85831	-47.51654	261.424     0.214
201.82291	-47.51654	252.150     0.172
201.84634	-47.51492	238.777     0.543
201.84883	-47.51466	241.875     0.476
201.90303	-47.51419	240.974     0.488
201.82783	-47.51408	220.446     0.309
201.85010	-47.51380	235.133     0.415
201.86590	-47.51226	235.835     0.794
201.82817	-47.51176	247.415     0.407
201.80921	-47.51075	244.302     0.357
201.86066	-47.50892	241.779     0.638
201.97194	-47.50745	248.064     0.394
201.83384	-47.50767	266.859     0.166
201.93308	-47.50672	252.915     0.408
201.84287	-47.50608	252.519     0.069
201.82117	-47.50610	227.204     0.282
201.86268	-47.50579	232.374     0.250
201.81601	-47.50451	256.597     1.139
201.86752	-47.50401	250.066     0.528
201.83053	-47.49926	243.315     1.384
201.88196	-47.49815	227.203     0.121
201.89427	-47.49624	240.745     0.214
201.83738	-47.49594	228.693     0.349
201.80755	-47.49449	233.153     0.274
201.83461	-47.49347	239.737     0.276
201.88001	-47.49237	239.216     0.185
201.90229	-47.48950	229.547     0.599
201.87631	-47.48934	239.721     0.162
201.84920	-47.48671	234.021     0.066
201.94127	-47.48590	241.009     0.961
201.85994	-47.48007	254.544     0.575
201.87586	-47.47959	248.454     0.228
201.80691	-47.47966	204.784     0.678
201.85413	-47.47918	256.435     0.263
201.92393	-47.47774	241.799     0.619
201.81363	-47.47746	241.553     0.351
201.89409	-47.47622	249.371     0.507
201.89978	-47.47616	235.945     0.214
201.80981	-47.47474	255.233     0.318
201.93749	-47.47421	248.863     0.508
201.88374	-47.47293	241.963     0.403
201.82862	-47.47190	225.344     0.812
201.84828	-47.46860	234.608     0.846
201.88722	-47.46656	241.707     0.587
201.85495	-47.46623	236.595     0.986
201.81601	-47.46516	239.232     0.913
201.88768	-47.46290	256.709     0.367
201.80489	-47.46115	225.014     0.615
201.87986	-47.45929	242.053     0.156
201.80509	-47.45571	262.213     0.198
201.94347	-47.45421	239.022     0.526
201.80604	-47.45404	234.002     0.094
201.84954	-47.44583	235.521     0.490
201.80605	-47.44556	221.159     0.148
201.82390	-47.44552	220.635     0.737
201.98574	-47.44128	233.487     0.826
201.81381	-47.44066	239.854     0.426
201.86069	-47.43983	227.067     0.220
201.88776	-47.43659	240.030     0.769
201.92595	-47.43347	228.911     0.527
201.93437	-47.43197	249.129     0.204
201.83954	-47.43187	239.491     0.965
201.88476	-47.43141	250.065     0.267
201.81803	-47.43052	212.628     0.391
201.81492	-47.43005	229.826     0.093
201.81853	-47.42999	233.229     0.219
201.86190	-47.42828	240.175     0.230
201.86991	-47.42751	225.344     0.057
201.83821	-47.42440	242.482     0.124
201.94361	-47.42367	251.537     0.281
201.84578	-47.42179	232.101     0.438
201.90733	-47.42142	248.482     1.301
201.90067	-47.41921	235.041     0.222
201.81436	-47.41899	224.626     0.427
201.93477	-47.41855	252.652     0.294
201.84969	-47.40951	224.925     0.538
201.90952	-47.40681	244.763     0.221
201.88063	-47.40412	243.792     1.433
201.90041	-47.40054	232.321     0.444
201.84986	-47.39813	233.439     0.252
201.81071	-47.39746	235.836     0.827
201.88831	-47.39644	227.571     1.105
201.82471	-47.38924	236.734     0.263
201.91946	-47.38852	233.624     0.207
201.86307	-47.38062	222.722     0.366
201.89036	-47.37886	232.064     0.618
201.93759	-47.37778	232.284     0.220
201.90436	-47.37572	229.903     0.650
201.84490	-47.36546	237.053     0.267
201.87043	-47.36085	246.178     0.863
201.90291	-47.35418	248.718     0.193
201.66700	-47.60256	245.139     0.749
201.69281	-47.60028	233.874     0.339
201.59188	-47.59868	246.869     0.079
201.63824	-47.59580	240.979     0.360
201.61116	-47.59133	222.583     0.420
201.61702	-47.59026	224.707     0.422
201.73300	-47.58848	246.026     0.440
201.68418	-47.58848	236.973     0.280
201.66370	-47.58827	237.552     0.279
201.74597	-47.58747	229.938     0.658
201.70301	-47.58724	238.067     0.356
201.75907	-47.58690	244.560     0.428
201.75717	-47.58590	231.272     0.338
201.71356	-47.58559	241.869     0.338
201.73181	-47.58485	225.883     0.452
201.65578	-47.58459	226.642     0.629
201.76196	-47.58086	241.236     0.261
201.69769	-47.57919	214.899     0.403
201.60270	-47.57928	235.012     0.266
201.71775	-47.57755	228.726     0.565
201.76763	-47.57723	231.647     0.067
201.63859	-47.57742	223.022     0.179
201.65023	-47.57686	256.480     0.364
201.72529	-47.57522	215.791     0.275
201.68461	-47.57428	239.518     0.301
201.62719	-47.57435	224.726     0.874
201.72434	-47.57343	208.049     0.281
201.73159	-47.57311	215.064     0.412
201.75512	-47.57257	238.400     1.312
201.68378	-47.57216	254.786     0.052
201.69693	-47.57001	228.337     1.256
201.64528	-47.56968	234.353     1.472
201.67679	-47.56945	221.160     0.377
201.60251	-47.56947	209.384     0.470
201.77264	-47.56807	249.544     0.329
201.73121	-47.56739	226.218     0.067
201.75152	-47.56479	237.532     0.231
201.70549	-47.56408	229.803     0.841
201.61724	-47.56361	236.270     0.437
201.77340	-47.56271	234.837     0.441
201.65540	-47.56287	223.536     0.653
201.74397	-47.56251	248.909     0.861
201.71431	-47.56176	234.321     0.156
201.76863	-47.55934	223.455     0.345
201.68996	-47.55925	221.507     0.506
201.77137	-47.55882	254.038     0.191
201.69847	-47.55869	224.422     0.494
201.73449	-47.55849	237.642     0.467
201.63373	-47.55863	228.454     0.563
201.77531	-47.55751	242.757     0.497
201.75336	-47.55722	237.769     0.217
201.67383	-47.55550	229.967     0.113
201.68308	-47.55505	215.554     0.535
201.61864	-47.55506	242.160     0.429
201.70785	-47.55326	249.610     0.171
201.66964	-47.55210	214.913     0.383
201.78300	-47.55179	225.198     0.077
201.76083	-47.55169	232.276     0.382
201.71166	-47.55097	228.192     0.730
201.66985	-47.54969	235.286     0.431
201.68085	-47.54927	241.413     0.222
201.70255	-47.54912	231.339     0.382
201.65319	-47.54871	227.533     0.235
201.65918	-47.54726	252.903     0.492
201.67093	-47.54712	240.982     0.884
201.62542	-47.54692	220.612     0.053
201.70106	-47.54474	234.882     0.818
201.64275	-47.54394	221.682     0.643
201.74299	-47.54363	248.807     0.245
201.61239	-47.54352	215.195     0.382
201.67006	-47.54286	225.109     1.420
201.75512	-47.54232	235.240     1.211
201.65363	-47.54078	219.655     0.131
201.65497	-47.54059	243.119     0.209
201.62244	-47.54041	227.943     1.346
201.74489	-47.53942	252.305     0.782
201.72295	-47.53927	229.106     0.474
201.69151	-47.53932	237.952     0.278
201.63708	-47.53855	228.114     0.546
201.63525	-47.53772	217.819     0.194
201.78290	-47.53716	214.133     0.398
201.74344	-47.53725	257.459     0.632
201.69824	-47.53678	225.368     0.072
201.67998	-47.53669	214.824     0.315
201.71899	-47.53577	239.211     0.551
201.75156	-47.53438	251.658     0.288
201.63250	-47.53457	256.561     1.005
201.72791	-47.53427	258.176     0.346
201.61999	-47.53403	237.540     0.223
201.67204	-47.53312	233.216     0.230
201.72316	-47.53278	223.609     1.145
201.68976	-47.53248	215.352     0.388
201.77883	-47.53184	228.805     0.474
201.70267	-47.53186	250.269     0.543
201.78526	-47.53029	247.590     0.388
201.70741	-47.52930	247.297     0.604
201.61536	-47.52936	235.517     0.276
201.67162	-47.52882	218.296     0.328
201.62405	-47.52883	231.609     0.119
201.73748	-47.52862	259.610     0.306
201.77460	-47.52844	237.879     0.234
201.71220	-47.52843	232.104     0.164
201.63319	-47.52853	227.706     1.203
201.73681	-47.52794	258.246     0.537
201.69258	-47.52794	238.150     0.204
201.72696	-47.52772	220.440     0.309
201.78771	-47.52740	260.459     0.308
201.68277	-47.52595	231.810     0.874
201.74289	-47.52561	240.731     0.643
201.63337	-47.52570	219.225     1.337
201.74631	-47.52541	241.769     0.434
201.69224	-47.52512	238.674     0.706
201.75998	-47.52424	257.634     0.069
201.65752	-47.52439	253.590     0.733
201.65132	-47.52300	223.598     0.185
201.71592	-47.52270	244.251     1.384
201.72785	-47.52223	230.873     0.025
201.68477	-47.52241	230.902     0.427
201.72081	-47.52193	236.970     0.364
201.71401	-47.52197	249.356     0.799
201.67895	-47.52113	205.438     0.742
201.73545	-47.51949	222.208     0.154
201.62197	-47.51919	238.670     1.093
201.77693	-47.51881	255.794     0.115
201.75945	-47.51858	240.562     1.002
201.66605	-47.51855	230.827     1.098
201.77364	-47.51797	242.280     0.955
201.76025	-47.51733	248.432     0.432
201.63784	-47.51666	213.977     0.569
201.66787	-47.51659	224.253     0.500
201.60079	-47.51605	232.024     0.575
201.63445	-47.51555	228.441     1.654
201.69913	-47.51507	247.199     0.085
201.65067	-47.51472	207.299     0.375
201.73215	-47.51452	218.176     0.462
201.67088	-47.51443	244.396     1.360
201.68724	-47.51435	212.599     1.037
201.65349	-47.51381	255.083     1.237
201.70863	-47.51360	233.709     0.405
201.65059	-47.51324	249.683     1.227
201.66447	-47.51304	215.040     0.292
201.74420	-47.51192	249.060     0.721
201.60940	-47.51198	232.824     0.397
201.65220	-47.51147	204.795     0.191
201.71476	-47.51088	201.048     0.663
201.60904	-47.51060	234.704     0.346
201.67078	-47.51027	230.852     0.915
201.63304	-47.51029	239.298     0.211
201.69211	-47.51002	206.286     0.156
