201.45516700	-47.67383300	232.050	0.721       
201.35533300    -47.89608300    228.183 1.008   
201.51570800    -47.77761100    235.758 0.464   
201.41195800    -47.63111100    227.539 0.754   
201.30970800    -47.86486100    240.939 0.717   
201.33879200    -47.61500000    242.474 0.377   
201.49412500    -47.72644400    243.190 0.446   
201.35012500    -47.65572200    238.045 0.392   
201.46879200    -47.68711100    231.529 0.811   
201.32220800    -47.69325000    238.903 0.498   
201.07800000    -47.75186100    237.405 0.497   
201.26308300    -47.70975000    239.061 0.521   
201.44179200    -47.77925000    233.471 1.337   
201.30075000    -47.60250000    228.949 0.924   
201.50329200    -47.71525000    233.914 0.857   
201.22575000    -47.73152800    235.758 0.428   
201.33825000    -47.73441700    241.842 0.748   
201.39416700    -47.74244400    237.296 1.030   
201.54850000    -47.78261100    237.480 0.873   
201.51700000    -47.75411100    230.565 0.450   
201.16016700    -47.61627800    238.040 0.441   
201.42141700    -47.63925000    231.837 0.734   
201.38462500    -47.72258300    244.324 1.123   
201.40166700    -47.75883300    231.996 0.852   
201.36104200    -47.60569400    226.572 0.470   
201.37708300    -47.80141700    236.955 0.709   
201.31354200    -47.66430600    241.354 0.625   
201.01158300    -46.52975000    263.993 0.631   
201.37068800    -47.22029500    226.515 0.514   
201.38227500    -47.38910700    238.339 0.792   
201.30586200    -47.35314600    220.828 0.604   
201.46612500    -47.25975400    244.117 0.470   
201.44237900    -47.18859900    217.812 0.416   
201.12809200    -47.40736000    226.915 0.344   
201.10723800    -47.42122700    235.091 0.653   
201.43868800    -47.30789200    233.619 0.676   
201.46504200    -47.25512300    230.459 0.422   
201.42215800    -47.39160500    229.788 0.427   
201.29168300    -47.34208700    239.160 0.458   
201.27462100    -47.34685500    236.398 0.709   
201.44175400    -47.25617200    225.395 0.374   
201.36544200    -47.41273900    230.330 0.613   
201.30094600    -47.32022900    224.356 0.453   
201.30867900    -47.44355400    230.514 0.431   
201.08507100    -47.32646200    227.130 0.409   
201.07100000    -47.22092400    242.079 0.500   
201.39293800    -47.15268300    218.811 0.447   
201.32302900    -47.40739800    228.357 0.515   
201.27799600    -47.44796800    229.700 0.303   
201.17425400    -47.47495700    233.058 0.331   
201.21047100    -47.42779200    229.306 0.472   
201.30631300    -47.34440600    220.324 0.618   
201.44917500    -47.18782400    232.322 0.332   
201.33450800    -47.23342900    219.514 0.431   
201.46390800    -47.27780200    226.138 0.364   
201.19485400    -47.41351300    232.716 0.505   
201.40679600    -47.26977200    223.675 0.481   
201.13716200    -47.36509700    234.295 0.841   
