52	13 26 17.61	-47 11 30.9	52	230.9117	0.3740	10.752	10.185	10.040	201.57337	-47.19191
53	13 24 59.97	-47 28 08.3	53	218.1578	0.4520	10.904	10.305	10.180	201.24986	-47.46898
54	13 27 09.76	-47 38 45.7	54	247.9988	0.5570	10.873	10.312	10.193	201.79069	-47.64603
55	13 26 13.26	-47 17 57.5	55	230.7375	0.6180	11.212	10.689	10.576	201.55524	-47.29931
56	13 25 26.68	-47 36 20.3	56	226.5722	0.4695	11.135	10.587	10.479	201.36119	-47.60564
57	13 26 58.84	-47 39 14.8	57	247.1721	0.4180	10.452	9.779	9.628	201.74518	-47.65412
58	13 27 03.72	-47 18 15.7	58	220.8150	0.5750	11.099	10.541	10.402	201.76551	-47.30437
59	13 27 31.83	-47 16 55.2	59	235.2805	0.7080	11.364	10.858	10.738	201.88264	-47.28201
60	13 24 18.78	-47 45 06.7	60	237.4047	0.4974	11.340	10.809	10.672	201.07823	-47.75185
61	13 24 21.59	-47 38 39.4	61	226.0663	0.5210	11.011	10.377	10.269	201.08997	-47.64427
62	13 25 00.69	-47 28 26.3	62	239.7591	0.3041	10.879	10.249	10.105	201.25288	-47.47396
63	13 26 43.95	-47 40 53.5	63	231.9498	0.4480	10.850	10.177	10.035	201.68314	-47.68154
64	13 25 46.69	-47 22 15.6	64	236.7112	0.4880	11.077	10.481	10.371	201.44455	-47.37099
65	13 28 02.65	-47 45 57.0	65	239.4952	0.3719	11.312	10.712	10.580	202.01103	-47.76585
66	13 27 40.66	-47 23 18.8	66	233.9250	0.5360	11.170	10.576	10.442	201.91944	-47.38855
67	13 26 37.50	-47 13 26.6	67	221.8871	0.3829	11.261	10.717	10.603	201.65626	-47.22405
68	13 27 53.74	-47 24 41.9	68	232.5589	0.4280	10.608	9.932	9.820	201.97393	-47.41164
69	13 26 03.81	-47 46 39.3	69	235.7576	0.4638	11.383	10.818	10.702	201.51587	-47.77758
70	13 25 05.94	-47 20 48.4	70	236.3982	0.7090	11.620	11.106	11.016	201.27474	-47.34677
71	13 27 11.94	-47 46 38.7	71	235.2979	0.7300	11.608	11.070	10.973	201.79974	-47.77742
72	13 25 17.37	-47 41 35.6	72	238.9030	0.4979	11.574	11.028	10.963	201.32238	-47.69321
73	13 24 54.23	-47 43 53.4	73	235.7582	0.4278	11.345	10.782	10.659	201.22595	-47.73150
74	13 27 36.14	-47 18 19.6	74	232.3693	0.5000	11.184	10.559	10.464	201.90060	-47.30545
75	13 25 28.99	-47 13 12.8	75	226.5150	0.5140	11.353	10.781	10.705	201.37081	-47.22023
76	13 25 24.07	-47 39 20.4	76	238.0455	0.3920	11.444	10.872	10.787	201.35028	-47.65568
77	13 27 21.47	-47 50 55.8	77	231.1853	0.5185	11.778	11.315	11.184	201.83945	-47.84884
78	13 27 44.34	-47 25 06.9	78	252.1450	0.4590	11.239	10.599	10.488	201.93476	-47.41859
79	13 28 02.80	-47 24 12.1	79	239.5781	0.5050	11.349	10.789	10.688	202.01165	-47.40336
80	13 27 35.79	-47 43 45.9	80	237.5169	0.6540	11.747	11.237	11.101	201.89912	-47.72943
81	13 26 30.08	-47 50 17.7	81	231.0419	0.5830	11.537	11.018	10.911	201.62533	-47.83826
82	13 28 02.49	-47 38 25.2	82	233.5152	0.3610	11.418	10.848	10.719	202.01037	-47.64034
83	13 24 41.86	-47 28 29.6	83	233.0578	0.3313	11.299	10.705	10.613	201.17441	-47.47489
84	13 27 45.28	-47 46 38.1	84	241.4962	0.3729	11.523	10.958	10.810	201.93866	-47.77725
85	13 27 53.27	-47 30 26.7	85	248.6702	0.5250	11.471	10.893	10.791	201.97197	-47.50743
86	13 24 38.49	-47 36 58.5	86	238.0400	0.4410	11.533	10.947	10.890	201.16036	-47.61624
87	13 27 54.88	-47 35 17.9	87	238.4548	0.5370	11.454	10.892	10.787	201.97866	-47.58832
88	13 27 02.59	-47 38 18.3	88	240.5733	0.5400	11.579	11.025	10.906	201.76081	-47.63842
89	13 26 57.35	-47 45 56.8	89	237.7999	0.4360	11.336	10.747	10.618	201.73895	-47.76577
90	13 26 05.93	-47 12 18.2	90	229.2448	0.7890	11.881	11.406	11.278	201.52473	-47.20505
91	13 24 39.16	-47 14 01.0	91	237.5150	0.7780	11.887	11.413	11.300	201.16315	-47.23362
92	13 25 27.69	-47 34 07.5	92	245.0023	0.4240	11.363	10.779	10.646	201.36539	-47.56875
93	13 27 42.24	-47 38 45.0	93	242.9880	0.3350	11.441	10.802	10.675	201.92599	-47.64583
94	13 27 54.51	-47 17 25.3	94	225.8257	0.6400	11.781	11.312	11.190	201.97713	-47.29036
95	13 25 28.28	-47 15 38.6	95	250.5892	0.6500	11.911	11.432	11.370	201.36783	-47.26072
96	13 25 18.13	-47 19 29.4	96	234.3561	0.5680	11.712	11.166	11.118	201.32553	-47.32484
97	13 25 58.63	-47 43 35.1	97	243.1901	0.4455	11.609	11.048	10.925	201.49428	-47.72640
98	13 27 27.05	-47 09 42.1	98	235.4766	0.5010	11.544	10.975	10.886	201.86270	-47.16170
99	13 25 25.33	-47 53 45.9	99	228.1828	1.0080	12.034	11.552	11.471	201.35552	-47.89608
100	13 26 45.21	-47 38 30.6	100	229.4669	0.5460	11.557	11.020	10.912	201.68838	-47.64184
101	13 26 41.52	-47 16 21.4	101	208.8717	0.8020	11.987	11.519	11.402	201.67300	-47.27262
102	13 26 45.08	-47 47 35.4	102	246.7214	0.5390	11.697	11.115	11.030	201.68782	-47.79317
103	13 26 24.61	-47 17 13.9	103	250.9449	0.7620	12.073	11.590	11.509	201.60253	-47.28720
