1.7056269831   8182.0202466845
3.9470560346   7681.3867332628
6.3276468953   7452.6318459461
6.6683220041   7605.329112748
8.8511139027   7403.593513252
10.5786595802  7187.967872681
11.2657428628  7082.9490104426
16.2622309411  6913.8607439616
18.6377453983  6577.56822612
22.7476123045  6768.9984130562
23.7222172832  6631.6518859145
30.1937589991  6362.9585286682
31.4873887415  6436.9546852237
38.8359518934  6249.0293420017
44.9781999111  6174.5101755825
57.8520616824  5872.6204247171
60.3306913787  5703.372947893
65.6110859057  5652.6284363067
87.0880551766  4954.5631990068
90.8192798463  4783.8060874254
105.1831492613 4420.2780610235
120.5478364696 4096.3958585812
120.5478364696 3932.6056551256
125.712621243  3864.0570575285
177.7008237354 3387.6871304373
150.2490013887 2801.9287354583
