265.2403222	-53.680596	8.73241139	7.5733555785
265.2391985     -53.6812089     16.40506548	8.1397709671
265.2388785     -53.6830471     22.55281942	0.874969321
265.2387541     -53.6816605     14.25871679	1.0873479488
265.2388426     -53.6813348     14.00693012	4.738896172
265.2387006     -53.678548      15.2414794743	2.5622800283
265.2382948     -53.6850017     19.98571757	4.1741253326
265.2382555     -53.6841601     24.72540519	5.4715267746
265.237619      -53.6819536     26.52414519	4.9829659083
265.2373067     -53.6790563     15.5081121208	2.3132780164
265.2372694     -53.6836047     28.75524902	5.207650531
265.2371012     -53.6829136     20.94145576	9.1152721088
265.2366959     -53.6861397     20.35914317	3.9185761703
265.2366691     -53.6841985     22.52017674	5.0561647706
265.2364243     -53.6814829     19.54499727	1.5798248795
265.2356296     -53.6838087     15.13388541	3.0529474149
265.2357321     -53.6810185     20.93811554	4.6098501005
265.2350992     -53.6835778     22.22407188	6.9728119432
265.2352155     -53.6804167     -9.190422011	2.8418093946
265.2337005     -53.683827      12.5589292	2.2719746751
265.2331556     -53.6844267     14.43035048	3.7462789096
265.2326731     -53.6826297     18.63605919	3.7041388325
265.2331324     -53.6823814     8.93636122	3.8388292552
265.2330935     -53.6807319     13.91942583	1.7346683822
265.2325759     -53.6835621     15.22322584	6.2637546561
265.2323006     -53.6818286     13.12643296	10.8191357221
265.2318433     -53.68329       12.30469948	8.6665173948
265.2318649     -53.6814139     16.1318533616	0.6293269917
265.2306924     -53.6820807     11.5802236646	3.7339631146
265.245         -53.6945        10.51912555	7.0839564348
265.25          -53.6922        8.67599268	4.8366741651
265.255         -53.691         23.00647107	4.3884311559
265.243         -53.6904        13.70968437	8.1905925505
265.253         -53.6902        14.03312319	4.7294251755
265.261         -53.6892        16.72010557	3.2951551202
265.258         -53.6886        22.17680259	4.3807233638
265.242         -53.6886        19.71565531	6.206744021
265.257         -53.6877        3.84975856	6.6262921835
265.249         -53.6859        24.23851492	2.6912775432
265.242         -53.6844        9.05835771	2.5062129701
265.253         -53.6839        24.9097833	5.4068103904
265.25          -53.6818        19.57943319	2.2295251552
265.247         -53.6811        10.73997233	3.3857829928
265.258         -53.6805        19.25925605	3.2635383529
265.244         -53.6802        7.43571713	3.4595563513
265.246         -53.68          23.37554265	3.198192343
265.245         -53.6798        27.80717797	3.1549868653
265.247         -53.6764        20.0026906413	2.5228702226
265.243         -53.6937        10.88710728	4.7104143134
265.249         -53.6936        20.88722223	4.16383959
265.249         -53.6935        9.87511304	4.8226855801
265.246         -53.6917        13.94283568	3.5871116141
265.25          -53.6914        15.02834661	3.3273168856
265.249         -53.6913        18.2644542	3.8854345543
265.252         -53.6912        -172.85194542	4.411699933
265.245         -53.6911        -45.0833456	1.2223532511
265.257         -53.6903        12.05924581	2.0905399696
265.249         -53.6892        10.99508506	4.482458102
265.253         -53.689         23.15090233	2.9640484233
265.245         -53.6888        -102.72009961	1.4705945925
265.258         -53.6888        17.0768591	6.7778752088
265.249         -53.6887        26.90841153	2.9054134089
265.261         -53.688         27.04478954	1.5232780938
265.26          -53.6871        13.54850529	1.3491996057
265.237         -53.687         -67.81176734	5.5533227164
265.254         -53.6868        6.55588684	2.1387491565
265.262         -53.6867        21.57148543	2.3075591007
265.25          -53.6867        19.16686723	3.4921489
265.257         -53.6866        20.02263682	4.1227263416
265.243         -53.6858        10.30932131	2.4245650107
265.239         -53.6858        6.79569422	1.5724735557
265.265         -53.6858        17.30216386	3.372252595
265.241         -53.6856        24.39581174	2.5674418137
265.248         -53.6854        20.56569523	2.7967993105
265.259         -53.6854        8.5016285	5.6349365839
265.252         -53.6853        12.72941649	1.9947432126
265.247         -53.6848        12.11398587	3.8876491237
265.241         -53.6848        15.26614821	5.0637339351
265.263         -53.6846        19.386364	1.8358660726
265.259         -53.6844        20.6039306	2.5802276411
265.255         -53.6839        20.80877954	2.7322360049
265.261         -53.6833        22.82088492	4.5384337792
265.253         -53.6832        13.87403479	1.9499528362
265.245         -53.6826        13.89679888	1.597414201
265.24          -53.6816        28.48991067	5.7953937808
265.258         -53.6814        16.10621463	2.0385122082
265.243         -53.681         21.10936598	2.0203176116
265.251         -53.6809        15.80067372	2.8502046266
265.258         -53.68          17.56630648	1.6595435882
